1632, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2010/4/16,15:15:00,3497.2,3517.4,3432.1,3434.5,58457
2010/4/19,15:15:00,3410.9,3413.6,3181.8,3209.7,123612
2010/4/20,15:15:00,3228.5,3249.8,3180.7,3228.4,153419
2010/4/21,15:15:00,3231.7,3291.9,3220.5,3280.1,121023
2010/4/22,15:15:00,3274.4,3284.2,3222.6,3249.9,140307
2010/4/23,15:15:00,3259.1,3276.2,3234.4,3235.4,121963
2010/4/26,15:15:00,3262.2,3265.2,3223.7,3233,116259
2010/4/27,15:15:00,3218.7,3218.7,3121.6,3155.8,146123
2010/4/28,15:15:00,3114.2,3156.6,3112.6,3146.7,133791
2010/4/29,15:15:00,3161.5,3172.6,3099.6,3100.8,121254
2010/4/30,15:15:00,3118.6,3134.8,3059.8,3125.8,193380
2010/5/4,15:15:00,3095.2,3109.5,3078,3095.5,157571
2010/5/5,15:15:00,3068.1,3101.7,3047.1,3094.1,153710
2010/5/6,15:15:00,3099,3099.6,2976.9,2990.6,181699
2010/5/7,15:15:00,2950.8,2975.4,2884.7,2920.9,256676
2010/5/10,15:15:00,2940.2,2946.7,2889.2,2937.7,218207
2010/5/11,15:15:00,2971,2972.8,2818.2,2820.9,246312
2010/5/12,15:15:00,2826.5,2870.3,2801.6,2854.9,315025
2010/5/13,15:15:00,2866,2925.5,2843.9,2913.7,255153
2010/5/14,15:15:00,2898.7,2910.4,2867.6,2880,228636
2010/5/17,15:15:00,2843.1,2849.6,2714.4,2724.3,221841
2010/5/18,15:15:00,2718.2,2845.6,2716.2,2812,306063
2010/5/19,15:15:00,2786.2,2859.8,2739.8,2789.4,362039
2010/5/20,15:15:00,2809.5,2847.1,2749.1,2770.7,305072
2010/5/21,15:15:00,2703.7,2811.5,2683.7,2810.9,317595
2010/5/24,15:15:00,2822.4,2942.6,2821.9,2914.2,318863
2010/5/25,15:15:00,2888.7,2899.7,2822.8,2824.5,300900
2010/5/26,15:15:00,2862.1,2887.6,2827.3,2850,339998
2010/5/27,15:15:00,2831.9,2917.5,2798.4,2910.9,339829
2010/5/28,15:15:00,2939.8,2951.2,2861,2874,318732
2010/5/31,15:15:00,2858.6,2905.2,2794.9,2800.4,350260
2010/6/1,15:15:00,2790.1,2827.7,2740.2,2771.1,436171
2010/6/2,15:15:00,2769.2,2789,2726.3,2784.9,358266
2010/6/3,15:15:00,2806.6,2814.5,2750.1,2757.5,358036
2010/6/4,15:15:00,2754.1,2775.9,2731.1,2771.2,337663
2010/6/7,15:15:00,2695.3,2724.5,2687.9,2715.2,307258
2010/6/8,15:15:00,2723.9,2734,2691.6,2733,241972
2010/6/9,15:15:00,2730.8,2814.2,2708.8,2799.3,345288
2010/6/10,15:15:00,2783.3,2799.9,2773.1,2781.9,261058
2010/6/11,15:15:00,2800.9,2810,2784,2786.3,215378
