1632, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2010/4/16,15:00:00,3450,3488,3413.2,3415.6,48988
2010/4/19,15:00:00,3396,3396.2,3168.4,3197.4,109733
2010/4/20,15:00:00,3209.2,3237.4,3169.2,3214.6,141862
2010/4/21,15:00:00,3215,3281,3208,3267.2,114531
2010/4/22,15:00:00,3260.2,3274,3211,3236.2,133247
2010/4/23,15:00:00,3241,3266,3221.2,3221.2,116981
2010/4/26,15:00:00,3243,3252,3212,3219.6,112229
2010/4/27,15:00:00,3192.2,3195,3107.8,3138.8,139961
2010/4/28,15:00:00,3101.6,3142.2,3095.8,3129,128530
2010/4/29,15:00:00,3141,3156.8,3082.2,3083.8,116254
2010/4/30,15:00:00,3104.4,3118.8,3045,3107,184157
2010/5/4,15:00:00,3077,3092.6,3061,3076.4,150123
2010/5/5,15:00:00,3046,3086.8,3031,3076.4,145542
2010/5/6,15:00:00,3079.6,3083.4,2954.2,2967.4,170221
2010/5/7,15:00:00,2926,2959.4,2862.4,2897.6,240106
2010/5/10,15:00:00,2911,2930.8,2870.2,2918,201919
2010/5/11,15:00:00,2950,2957.2,2797.2,2801.6,224626
2010/5/12,15:00:00,2808.8,2855,2782.2,2836.2,273131
2010/5/13,15:00:00,2847,2912.8,2823.8,2894.6,217422
2010/5/14,15:00:00,2879,2893.8,2850.4,2862.6,185453
2010/5/17,15:00:00,2839,2839,2708,2719,117625
2010/5/18,15:00:00,2712.4,2847.4,2712,2810.4,261582
2010/5/19,15:00:00,2779,2858,2735,2784.8,340531
2010/5/20,15:00:00,2803,2844,2742.4,2763.2,293133
2010/5/21,15:00:00,2700,2802.8,2678,2801,307325
2010/5/24,15:00:00,2814,2932.2,2808.4,2902,300512
2010/5/25,15:00:00,2879,2888.8,2811.2,2813.2,288927
2010/5/26,15:00:00,2848.2,2878,2817.8,2839.6,326246
2010/5/27,15:00:00,2825,2909.8,2790.2,2901.4,325500
2010/5/28,15:00:00,2929.8,2942,2855,2865.2,306690
2010/5/31,15:00:00,2851,2898.8,2786.4,2792,337678
2010/6/1,15:00:00,2781,2820.2,2732.2,2762,420130
2010/6/2,15:00:00,2756,2781,2718.2,2776.4,343923
2010/6/3,15:00:00,2799.8,2806.8,2741.2,2748,342961
2010/6/4,15:00:00,2740,2767.8,2723,2761,324387
2010/6/7,15:00:00,2700,2717.8,2680,2706.2,289681
2010/6/8,15:00:00,2709.8,2725.8,2683,2724.4,225087
2010/6/9,15:00:00,2720.4,2807.6,2700.8,2788.8,314559
2010/6/10,15:00:00,2776,2790.4,2763.2,2769.6,232630
2010/6/11,15:00:00,2788,2796.6,2765,2765.8,169575
2010/6/17,15:00:00,2815,2815.8,2760,2762.6,157022
2010/6/18,15:00:00,2762.4,2778.8,2706.6,2718.2,249981
2010/6/21,15:00:00,2749.2,2816.6,2718,2804.8,277989
2010/6/22,15:00:00,2795.6,2814.8,2793.6,2797.6,220831
2010/6/23,15:00:00,2785,2801.4,2743.2,2765.2,238316
2010/6/24,15:00:00,2771,2809.8,2750.2,2771,297949
2010/6/25,15:00:00,2759,2772.8,2736.8,2753.8,249654
2010/6/28,15:00:00,2751.6,2763.2,2731.4,2741.6,210541
2010/6/29,15:00:00,2741.6,2746.8,2598.4,2600.4,298585
2010/6/30,15:00:00,2580,2592.6,2563,2579,247753
2010/7/1,15:00:00,2577.8,2584.4,2535.6,2545.2,243922
2010/7/2,15:00:00,2550,2565,2479,2546,367858
2010/7/5,15:00:00,2535,2548,2480,2530.6,359351
2010/7/6,15:00:00,2521.4,2584.8,2511.2,2564.6,365680
2010/7/7,15:00:00,2558,2581.4,2546.4,2568.4,318135
2010/7/8,15:00:00,2591,2599.2,2562.8,2569,254951
2010/7/9,15:00:00,2573.2,2667.8,2563.2,2650,327713
2010/7/12,15:00:00,2652,2691,2647.8,2660.6,289268
2010/7/13,15:00:00,2643.6,2646.2,2618.6,2626,269627
2010/7/14,15:00:00,2640,2679,2630,2647,209930
2010/7/15,15:00:00,2650,2705.6,2608,2610.8,392898
2010/7/16,15:00:00,2613,2629.6,2588.2,2620.6,360667
2010/7/19,15:00:00,2600.2,2715.2,2594.8,2697.6,379966
2010/7/20,15:00:00,2702,2761,2700.8,2746,390979
2010/7/21,15:00:00,2749,2758,2733.8,2744.4,308125
2010/7/22,15:00:00,2740,2785.6,2736.6,2784.4,385991
2010/7/23,15:00:00,2790,2800.6,2765.2,2783.6,326508
2010/7/26,15:00:00,2792,2803,2769.2,2796.8,295351
2010/7/27,15:00:00,2797.8,2799.8,2773.6,2778,298118
2010/7/28,15:00:00,2780.2,2888.4,2775.2,2887.4,354307
2010/7/29,15:00:00,2888,2895.8,2863,2876.8,274230
2010/7/30,15:00:00,2874.4,2880.2,2855.2,2871.4,241645
2010/8/2,15:00:00,2888.2,2950.2,2880.2,2926.4,288420
2010/8/3,15:00:00,2928,2934.6,2849.2,2856.8,322000
2010/8/4,15:00:00,2859.8,2890,2836,2873.8,382739
2010/8/5,15:00:00,2872.8,2880.4,2823,2846.4,319116
2010/8/6,15:00:00,2850,2922,2832.2,2920,322329
2010/8/9,15:00:00,2917,2932,2891.6,2913,288638
2010/8/10,15:00:00,2913.2,2920.2,2828.2,2837,324580
2010/8/11,15:00:00,2839,2872.6,2825.2,2839.4,359463
2010/8/12,15:00:00,2822,2867.6,2810.2,2826.8,337014
2010/8/13,15:00:00,2826,2862,2810.6,2855,299186
2010/8/16,15:00:00,2847.4,2942.4,2843.6,2927.6,269722
2010/8/17,15:00:00,2933,2961.8,2930,2947,176759
2010/8/18,15:00:00,2968.6,2987.2,2947.8,2962.2,238668
2010/8/19,15:00:00,2965,3015.2,2952.2,2981.6,310102
2010/8/20,15:00:00,2971.2,2979.4,2911.2,2921.8,320487
2010/8/23,15:00:00,2920.6,2937.8,2896.4,2905.6,252178
2010/8/24,15:00:00,2898.6,2958.8,2875.6,2914,340393
2010/8/25,15:00:00,2911,2922,2853,2856.4,328356
2010/8/26,15:00:00,2889.8,2893.4,2849.4,2865.8,273128
2010/8/27,15:00:00,2862,2874.8,2848.6,2872.6,271393
2010/8/30,15:00:00,2885,2948.8,2885,2930.2,258909
2010/8/31,15:00:00,2918,2921.8,2903.4,2910.4,198508
2010/9/1,15:00:00,2925,2956.2,2871.6,2890.2,310156
2010/9/2,15:00:00,2920,2949,2912.8,2929.2,292539
2010/9/3,15:00:00,2933,2939.4,2901.4,2933,265581
2010/9/6,15:00:00,2948,2993,2948,2992.2,250197
2010/9/7,15:00:00,2990,2998,2969.2,2996.6,206604
2010/9/8,15:00:00,2987,2998.4,2972,2995.2,193194
2010/9/9,15:00:00,3004,3006.6,2935.6,2947.6,244478
2010/9/10,15:00:00,2955,2955.8,2914.4,2940.6,217296
2010/9/13,15:00:00,2952,2983.6,2935.6,2967.4,205957
2010/9/14,15:00:00,2969.8,2995,2956.8,2966.8,216894
2010/9/15,15:00:00,2968.8,2972.6,2916.6,2920,171429
2010/9/16,15:00:00,2935,2936,2847,2877.8,235869
2010/9/17,15:00:00,2879.6,2889,2868,2878.8,212281
2010/9/20,15:00:00,2881,2891.8,2848,2873,209602
2010/9/21,15:00:00,2881,2885,2861.4,2871.4,163975
2010/9/27,15:00:00,2882.2,2914.4,2879.8,2904,157948
2010/9/28,15:00:00,2900,2905.4,2889.4,2891.4,120672
2010/9/29,15:00:00,2893.4,2912,2881.6,2894.2,136850
2010/9/30,15:00:00,2880,2954.8,2871.6,2953.4,189288
2010/10/8,15:00:00,2972.6,3073.6,2966.8,3054.2,150243
2010/10/11,15:00:00,3075,3162.4,3075,3137.6,208814
2010/10/12,15:00:00,3131,3164.2,3126,3154.6,172451
2010/10/13,15:00:00,3172.2,3208.6,3161.4,3206.8,182960
2010/10/14,15:00:00,3242.4,3271.4,3233.2,3250,176158
2010/10/15,15:00:00,3230,3394.2,3230,3392,263141
2010/10/18,15:00:00,3390,3421.4,3324.6,3329.4,302110
2010/10/19,15:00:00,3356.6,3434,3327.8,3423.8,308628
2010/10/20,15:00:00,3392.6,3512.6,3377,3458.2,378770
2010/10/21,15:00:00,3468.8,3492,3408,3448.8,325384
2010/10/22,15:00:00,3455.6,3499,3427.4,3465.4,293741
2010/10/25,15:00:00,3485,3608,3460.6,3606,256963
2010/10/26,15:00:00,3608.2,3618,3526,3558.2,235559
2010/10/27,15:00:00,3562.8,3605.4,3473.8,3488,303622
2010/10/28,15:00:00,3496,3536.4,3486.4,3513.8,248247
2010/10/29,15:00:00,3492.4,3498,3401.8,3420,379969
2010/11/1,15:00:00,3449.8,3575.8,3444,3555.2,227693
2010/11/2,15:00:00,3559.4,3585.8,3498.2,3500.4,260699
2010/11/3,15:00:00,3533,3533,3451.6,3472.2,286579
2010/11/4,15:00:00,3487.6,3538,3473,3524.8,236016
2010/11/5,15:00:00,3569,3630,3564.2,3578,202498
2010/11/8,15:00:00,3595,3595,3557.2,3579.6,141259
2010/11/9,15:00:00,3581.6,3581.6,3528.2,3545.4,137677
2010/11/10,15:00:00,3542,3542,3489.4,3525.8,132284
2010/11/11,15:00:00,3575,3664,3558.2,3573.4,141636
2010/11/12,15:00:00,3529,3563.2,3308.2,3342.4,233801
2010/11/15,15:00:00,3366,3384.8,3323.4,3352.8,207079
2010/11/16,15:00:00,3349,3357.8,3191,3211.2,246564
2010/11/17,15:00:00,3173.6,3230,3142.8,3156,306002
2010/11/18,15:00:00,3181.2,3214.6,3155.8,3190.4,236016
2010/11/19,15:00:00,3210,3252,3083.4,3244,317329
2010/11/22,15:00:00,3219.8,3238.6,3165,3189,248086
2010/11/23,15:00:00,3180,3181.6,3065.4,3121.4,285775
2010/11/24,15:00:00,3110.4,3220,3105.2,3197.4,292230
2010/11/25,15:00:00,3212,3245,3186,3227.6,189336
2010/11/26,15:00:00,3229.8,3241.8,3175,3213,209016
2010/11/29,15:00:00,3207.6,3235,3170.8,3212,170248
2010/11/30,15:00:00,3210.4,3222,3078.2,3153.2,253848
2010/12/1,15:00:00,3153.4,3166.4,3127.2,3145.6,178326
2010/12/2,15:00:00,3185,3219.8,3167.8,3167.8,160005
2010/12/3,15:00:00,3179.8,3190,3139.4,3175,178485
2010/12/6,15:00:00,3189,3206.8,3151,3171,168030
2010/12/7,15:00:00,3156.2,3242.8,3115.8,3221.8,225376
2010/12/8,15:00:00,3200,3228.2,3157.2,3159.6,167505
2010/12/9,15:00:00,3173,3184,3127,3139.8,191446
2010/12/10,15:00:00,3130.2,3198.8,3118.6,3171.6,197612
2010/12/13,15:00:00,3220,3283.4,3191,3275.6,191913
2010/12/14,15:00:00,3273,3292,3269,3277.8,104371
2010/12/15,15:00:00,3317.4,3330,3278.2,3283,130137
2010/12/16,15:00:00,3280,3307,3261.2,3264.2,130281
2010/12/17,15:00:00,3279,3284.2,3255.8,3281,142994
2010/12/20,15:00:00,3293,3309.2,3135.8,3209.2,222228
2010/12/21,15:00:00,3220,3305.8,3207.6,3303.4,205960
2010/12/22,15:00:00,3303,3306,3213.4,3243.6,176758
2010/12/23,15:00:00,3244.6,3274,3205,3218.2,218391
2010/12/24,15:00:00,3211.2,3224,3167.2,3196.4,248186
2010/12/27,15:00:00,3211,3264.8,3113,3118.6,262972
2010/12/28,15:00:00,3118.6,3126.2,3073.4,3074.2,206947
2010/12/29,15:00:00,3070,3095,3067,3091.6,149470
2010/12/30,15:00:00,3083,3114.6,3051,3093.8,188796
2010/12/31,15:00:00,3097.8,3161,3094.4,3157,233054
2011/1/4,15:00:00,3171.8,3215,3159.2,3192,190256
2011/1/5,15:00:00,3188,3203.4,3176.4,3186.8,146115
2011/1/6,15:00:00,3197.6,3223.4,3166.2,3173,186234
2011/1/7,15:00:00,3162,3230,3145.2,3171,217547
2011/1/10,15:00:00,3183,3198,3116,3122,186662
2011/1/11,15:00:00,3130,3141,3106.2,3140,171964
2011/1/12,15:00:00,3151,3165.4,3107,3153.6,206573
2011/1/13,15:00:00,3167,3173.4,3128.8,3147,201842
2011/1/14,15:00:00,3143,3144.8,3089.4,3097.4,207938
2011/1/17,15:00:00,3090.2,3095.2,2967.6,2971.8,202138
2011/1/18,15:00:00,2971.6,2986.8,2960.2,2974,143426
2011/1/19,15:00:00,2977.8,3052.8,2968,3044.6,157936
2011/1/20,15:00:00,3065.6,3065.6,2953.6,2957.2,193701
2011/1/21,15:00:00,2950.6,3061.4,2948,2990.8,310304
2011/1/24,15:00:00,3005.4,3018.4,2954.2,2970.2,245416
2011/1/25,15:00:00,2979,2982.6,2935.2,2960,225117
2011/1/26,15:00:00,2955.4,2999.4,2951.8,2987.2,211209
2011/1/27,15:00:00,2983.6,3049.6,2944,3030.4,264338
2011/1/28,15:00:00,3026.4,3057,3020.2,3045.8,164248
2011/1/31,15:00:00,3035,3091.8,3031.2,3079.8,152443
2011/2/1,15:00:00,3088.8,3098,3070.6,3085.4,104520
2011/2/9,15:00:00,3077.6,3094.8,3033,3038.4,155572
2011/2/10,15:00:00,3040,3118,3031,3104.6,177171
2011/2/11,15:00:00,3109.8,3131,3097.4,3117.2,164256
2011/2/14,15:00:00,3122,3242.6,3115.4,3228.6,154535
2011/2/15,15:00:00,3260,3279,3234.4,3242,136569
2011/2/16,15:00:00,3238,3273.8,3225.2,3272.6,176978
2011/2/17,15:00:00,3277.6,3289.2,3233.4,3262,185254
2011/2/18,15:00:00,3262.6,3268.6,3221.6,3231.4,193874
2011/2/21,15:00:00,3223,3285.6,3212.4,3276.4,269796
2011/2/22,15:00:00,3286.8,3294,3175.6,3179.4,329918
2011/2/23,15:00:00,3173,3199,3165.4,3175.2,177274
2011/2/24,15:00:00,3174.2,3209,3167.4,3193.2,208325
2011/2/25,15:00:00,3203,3235.6,3175,3214.6,219645
2011/2/28,15:00:00,3213.8,3260.6,3185.2,3255.2,208020
2011/3/1,15:00:00,3261,3282,3245,3254.4,176519
2011/3/2,15:00:00,3241.2,3262.6,3213.2,3245.4,202148
2011/3/3,15:00:00,3249.8,3283,3221.8,3223.6,229330
2011/3/4,15:00:00,3232.4,3292.8,3228.2,3288.6,188219
2011/3/7,15:00:00,3290,3352.8,3287.8,3342.2,199566
2011/3/8,15:00:00,3337.6,3364.8,3318.6,3363.4,152591
2011/3/9,15:00:00,3369.6,3371.8,3336,3345.4,180083
2011/3/10,15:00:00,3339,3340.8,3282.2,3290,182081
2011/3/11,15:00:00,3283.4,3304.4,3235.8,3250.2,172184
2011/3/14,15:00:00,3256,3274.2,3236,3258.4,159097
2011/3/15,15:00:00,3251.6,3255.6,3137.4,3199.6,217642
2011/3/16,15:00:00,3239,3267.6,3222.4,3258.6,101462
2011/3/17,15:00:00,3245.4,3254.4,3196.8,3225,191322
2011/3/18,15:00:00,3243,3263,3225,3232.2,159674
2011/3/21,15:00:00,3231,3274,3202.6,3230,185429
2011/3/22,15:00:00,3242,3247.2,3182,3231.6,211605
2011/3/23,15:00:00,3231,3284.4,3221,3269.2,186688
2011/3/24,15:00:00,3275,3279,3260.6,3267,127876
2011/3/25,15:00:00,3271.8,3323.6,3269,3298.4,171142
2011/3/28,15:00:00,3308.6,3336.6,3295.2,3296.6,172197
2011/3/29,15:00:00,3291.4,3322,3263,3273.8,192959
2011/3/30,15:00:00,3279.8,3284.4,3248,3263.6,182814
2011/3/31,15:00:00,3266,3273.8,3221.2,3244,181721
2011/4/1,15:00:00,3243.6,3280.6,3232.8,3276.4,155995
2011/4/6,15:00:00,3275.2,3320.8,3265.8,3308,178827
2011/4/7,15:00:00,3312.8,3327.8,3303.2,3323.8,128369
2011/4/8,15:00:00,3322,3366.2,3316.6,3366,159762
2011/4/11,15:00:00,3370,3382,3337,3344.6,137915
2011/4/12,15:00:00,3341.2,3351.2,3310.6,3326,149268
2011/4/13,15:00:00,3318.4,3377.8,3304.2,3374.8,131900
2011/4/14,15:00:00,3395,3396,3360,3364,123749
2011/4/15,15:00:00,3365.4,3395.8,3332,3372.8,196606
2011/4/18,15:00:00,3368.4,3383.8,3342.6,3355.4,171391
2011/4/19,15:00:00,3343.4,3344.6,3302.2,3311.4,169048
2011/4/20,15:00:00,3318.8,3327.2,3296.2,3316,131381
2011/4/21,15:00:00,3328.4,3345,3313.2,3320,143483
2011/4/22,15:00:00,3322.6,3334.6,3298,3307.8,131997
2011/4/25,15:00:00,3302,3304.2,3254.6,3261.2,146934
2011/4/26,15:00:00,3256.2,3267.4,3232.8,3252.8,134819
2011/4/27,15:00:00,3258.4,3262.8,3202.4,3230.2,132484
2011/4/28,15:00:00,3238,3251.2,3186,3195.2,201425
2011/4/29,15:00:00,3191.2,3215,3186.6,3193.2,145593
2011/5/3,15:00:00,3203,3217.6,3175,3210.4,130812
2011/5/4,15:00:00,3205.4,3205.4,3124.8,3129,163177
2011/5/5,15:00:00,3118,3139.2,3115.6,3120.4,126947
2011/5/6,15:00:00,3110.8,3144,3091.2,3133,168437
2011/5/9,15:00:00,3136,3153,3114.8,3137.2,142222
2011/5/10,15:00:00,3132.8,3157.6,3124.4,3149.4,154344
2011/5/11,15:00:00,3155,3164.8,3126.2,3139.8,162030
2011/5/12,15:00:00,3125,3141.2,3090.2,3090.2,145745
2011/5/13,15:00:00,3104.8,3136.2,3087.2,3127,157362
2011/5/16,15:00:00,3119.2,3135,3093.6,3103.8,115710
2011/5/17,15:00:00,3111,3150,3090.2,3128.2,100231
2011/5/18,15:00:00,3126.6,3159.6,3123.4,3148.2,131603
2011/5/19,15:00:00,3153,3161.8,3128.2,3129,131778
2011/5/20,15:00:00,3130,3142.6,3123.4,3126.2,127436
2011/5/23,15:00:00,3118.2,3123.4,3020.6,3022.4,165194
2011/5/24,15:00:00,3020.2,3033.6,3014.8,3023.8,124180
2011/5/25,15:00:00,3022,3037,2991,3015.2,159524
2011/5/26,15:00:00,3018.6,3026.8,2984.2,2992.6,157128
2011/5/27,15:00:00,2995.8,3013.6,2979.4,2981,198017
2011/5/30,15:00:00,2976,2989.6,2960.2,2971.8,154991
2011/5/31,15:00:00,2974,3009.2,2962.4,2996,154989
2011/6/1,15:00:00,2998.8,3004.8,2989.8,3002.4,116755
2011/6/2,15:00:00,2982,2989.2,2929,2963,185857
2011/6/3,15:00:00,2964.8,2998.4,2959.4,2986.6,147245
2011/6/7,15:00:00,2983.4,3001.2,2971.4,2995,129691
2011/6/8,15:00:00,2991,3015,2957,3006.8,166867
2011/6/9,15:00:00,3009.6,3009.6,2951,2958.2,171920
2011/6/10,15:00:00,2960.4,2967.8,2931.4,2947.6,170020
2011/6/13,15:00:00,2939.6,2957.6,2918.2,2955.2,161533
2011/6/14,15:00:00,2952.6,2995.8,2948.6,2984,151969
2011/6/15,15:00:00,2985.2,2991.8,2959.2,2960.8,103501
2011/6/16,15:00:00,2949.8,2953,2926,2928,133715
2011/6/17,15:00:00,2931.4,2939.8,2887.2,2888,140018
2011/6/20,15:00:00,2888,2898,2863.4,2883.6,149190
2011/6/21,15:00:00,2890,2907,2881.2,2901.8,151662
2011/6/22,15:00:00,2908.4,2917.8,2888,2897.6,149812
2011/6/23,15:00:00,2891.2,2974.6,2884.2,2961.4,212167
2011/6/24,15:00:00,2962,3061,2954.6,3039.8,237577
2011/6/27,15:00:00,3032.6,3057,3022.6,3038.4,180747
2011/6/28,15:00:00,3042.8,3052,3019.2,3041,175659
2011/6/29,15:00:00,3051,3051,3008.6,3017.6,182058
2011/6/30,15:00:00,3017.8,3080.6,3013.8,3035,204386
2011/7/1,15:00:00,3040.2,3077,3035.2,3049.6,193248
2011/7/4,15:00:00,3058.6,3130,3058.6,3122,186509
2011/7/5,15:00:00,3122.8,3127.8,3110,3119,126396
2011/7/6,15:00:00,3120.6,3125,3091.4,3114,152871
2011/7/7,15:00:00,3120.2,3146.8,3098.2,3113.6,214438
2011/7/8,15:00:00,3123,3134,3099.6,3120.6,197764
2011/7/11,15:00:00,3113,3121.4,3091.6,3104.2,159405
2011/7/12,15:00:00,3088,3090.8,3053.4,3054.6,151304
2011/7/13,15:00:00,3063.2,3114.8,3063.2,3108,139489
2011/7/14,15:00:00,3115.6,3133.6,3103.8,3125.4,116492
2011/7/15,15:00:00,3121.6,3147,3109,3139,158203
2011/7/18,15:00:00,3149.4,3157,3122,3122.8,135249
2011/7/19,15:00:00,3118,3119,3098.6,3116.8,129450
2011/7/20,15:00:00,3129.6,3130,3079.8,3095.2,149347
2011/7/21,15:00:00,3091.6,3113.6,3070.4,3074.8,165831
2011/7/22,15:00:00,3083,3096.6,3072.4,3075,130567
2011/7/25,15:00:00,3062,3062,2966,2977.2,147264
2011/7/26,15:00:00,2979.4,2985.6,2973.2,2983.2,95497
2011/7/27,15:00:00,2975.8,3004.6,2955.8,2994.2,167362
2011/7/28,15:00:00,2977.8,2992.8,2965.2,2990.2,138460
2011/7/29,15:00:00,2986.8,3003.8,2957,2971.6,176805
2011/8/1,15:00:00,2986,2996.8,2968.2,2987.8,126046
2011/8/2,15:00:00,2969.8,2969.8,2924.4,2964,163869
2011/8/3,15:00:00,2933.8,2973,2933.8,2960,151143
2011/8/4,15:00:00,2966.6,2984.8,2955.8,2962.6,118428
2011/8/5,15:00:00,2901.4,2919,2872.2,2896.2,149603
2011/8/8,15:00:00,2889.6,2896.2,2752.6,2796.2,224986
2011/8/9,15:00:00,2718.2,2822,2703.8,2820.2,255230
2011/8/10,15:00:00,2839,2849.6,2805.8,2807.8,171296
2011/8/11,15:00:00,2790.2,2880.8,2785.2,2879.6,241212
2011/8/12,15:00:00,2885,2887,2857,2860.4,156832
2011/8/15,15:00:00,2878,2906,2860.8,2896,131537
2011/8/16,15:00:00,2908.4,2919.4,2879.2,2880,97466
2011/8/17,15:00:00,2886,2916,2886,2890.6,154330
2011/8/18,15:00:00,2885.8,2894.6,2832.6,2846.4,165692
2011/8/19,15:00:00,2816.6,2823.6,2787,2805.8,181983
2011/8/22,15:00:00,2812.4,2835,2765.4,2786.2,204400
2011/8/23,15:00:00,2792.2,2834.6,2782,2832.2,211178
2011/8/24,15:00:00,2837.2,2844.6,2794.8,2800.4,187665
2011/8/25,15:00:00,2813,2915.8,2811.2,2912.8,267337
2011/8/26,15:00:00,2905.4,2914.4,2873,2894.6,209676
