10509, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2012-05-10,10:00:00,6190,6193,6121,6124,75470
2012-05-10,11:00:00,6125,6141,6108,6112,35844
2012-05-10,11:30:00,6112,6114,6082,6091,42600
2012-05-10,14:30:00,6105,6125,6098,6114,58992
2012-05-10,15:00:00,6114,6162,6110,6141,47022
2012-05-11,10:00:00,6110,6114,6048,6056,79344
2012-05-11,11:00:00,6055,6085,6053,6063,31236
2012-05-11,11:30:00,6063,6073,6057,6060,12790
2012-05-11,14:30:00,6066,6068,6018,6039,54934
2012-05-11,15:00:00,6040,6041,6001,6002,28458
2012-05-14,10:00:00,6040,6045,5971,6005,85926
2012-05-14,11:00:00,6005,6029,5995,6009,36516
2012-05-14,11:30:00,6010,6013,5998,6005,10996
2012-05-14,14:30:00,6005,6015,5965,5968,48964
2012-05-14,15:00:00,5966,5983,5960,5977,25232
2012-05-15,10:00:00,5895,5910,5820,5841,106426
2012-05-15,11:00:00,5841,5864,5822,5828,41548
2012-05-15,11:30:00,5828,5845,5788,5802,54530
2012-05-15,14:30:00,5803,5817,5719,5807,173018
2012-05-15,15:00:00,5807,5847,5794,5843,69602
2012-05-16,10:00:00,5750,5786,5698,5725,210018
2012-05-16,11:00:00,5725,5728,5686,5687,114804
2012-05-16,11:30:00,5688,5710,5677,5689,74084
2012-05-16,14:30:00,5686,5706,5653,5653,129690
2012-05-16,15:00:00,5653,5682,5644,5647,70576
2012-05-17,10:00:00,5705,5774,5692,5731,235884
2012-05-17,11:00:00,5731,5745,5715,5729,86656
2012-05-17,11:30:00,5729,5755,5724,5737,53114
2012-05-17,14:30:00,5742,5787,5740,5775,122474
2012-05-17,15:00:00,5776,5777,5750,5764,60028
2012-05-18,10:00:00,5808,5845,5768,5825,210150
2012-05-18,11:00:00,5826,5865,5812,5863,109556
2012-05-18,11:30:00,5863,5880,5853,5867,68262
2012-05-18,14:30:00,5830,5867,5787,5860,215840
2012-05-18,15:00:00,5859,5876,5845,5863,91700
2012-05-21,10:00:00,5957,5960,5917,5942,162112
2012-05-21,11:00:00,5943,5956,5924,5940,59992
2012-05-21,11:30:00,5940,5951,5936,5942,26554
2012-05-21,14:30:00,5940,5945,5928,5932,61000
