13384, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-12-21,10:00:00,247.01,247.2,246.11,246.83,18288
2009-12-21,11:00:00,246.83,247.28,246.68,247.22,5092
2009-12-21,11:30:00,247.2,247.86,246.92,247.85,8736
2009-12-21,14:30:00,247,247.44,246.38,246.9,19388
2009-12-21,15:00:00,246.94,246.94,246.33,246.79,6822
2009-12-22,10:00:00,242.82,243.37,242.73,242.93,19914
2009-12-22,11:00:00,242.93,243.19,242.71,243,6300
2009-12-22,11:30:00,243.03,243.11,242.95,242.96,1422
2009-12-22,14:30:00,243,243.23,242.6,243,10334
2009-12-22,15:00:00,242.99,243,242.35,242.41,8648
2009-12-23,10:00:00,241.1,242.16,241.01,241.81,22092
2009-12-23,11:00:00,241.81,241.89,240.88,241.06,10280
2009-12-23,11:30:00,241.08,241.1,240.52,240.7,7814
2009-12-23,14:30:00,240.73,241.25,240.71,241.04,7632
2009-12-23,15:00:00,241.04,241.4,241.03,241.28,7830
2009-12-24,10:00:00,242.6,243.08,242,242.88,19442
2009-12-24,11:00:00,242.88,244.58,242.88,243.96,19280
2009-12-24,11:30:00,243.97,244.32,243.8,244.08,4800
2009-12-24,14:30:00,244.11,245.46,243.88,245.23,15646
2009-12-24,15:00:00,245.24,245.96,245.21,245.78,13668
2009-12-25,10:00:00,245.5,245.79,244.51,245.31,15180
2009-12-25,11:00:00,245.27,245.68,245.07,245.55,3744
2009-12-25,11:30:00,245.52,246.1,245.31,245.83,5756
2009-12-25,14:30:00,245.82,246.28,245.6,245.99,6408
2009-12-25,15:00:00,245.99,246.48,245.83,246.36,8024
2009-12-28,10:00:00,246,248.25,245.6,248.03,19052
2009-12-28,11:00:00,248.03,249.09,247.88,248.86,12248
2009-12-28,11:30:00,248.87,249.04,248.2,248.43,4426
2009-12-28,14:30:00,248.62,248.85,247.9,248.5,10012
2009-12-28,15:00:00,248.45,248.66,247.89,247.99,8658
2009-12-29,10:00:00,246.34,246.7,245.16,245.2,22970
2009-12-29,11:00:00,245.2,245.58,244.78,245.11,8488
2009-12-29,11:30:00,245.1,245.31,245,245.07,2940
2009-12-29,14:30:00,245.57,246.15,245.44,245.82,8768
2009-12-29,15:00:00,245.82,246.66,245.71,246.43,7948
2009-12-30,10:00:00,243,243.75,242.77,243.32,19074
2009-12-30,11:00:00,243.33,243.34,242.85,243.07,4884
2009-12-30,11:30:00,243.08,243.4,242.96,243.36,3996
2009-12-30,14:30:00,243.31,243.97,243.18,243.86,7842
2009-12-30,15:00:00,243.9,243.91,243.34,243.35,7206
2009-12-31,10:00:00,243.68,245.88,243.6,245.27,21148
2009-12-31,11:00:00,245.25,245.45,244.75,245.44,6128
2009-12-31,11:30:00,245.45,245.51,245,245,3578
2009-12-31,14:30:00,245.15,245.86,245.11,245.39,7270
2009-12-31,15:00:00,245.38,247.32,245.3,247.27,13028
2010-01-04,10:00:00,245.38,245.65,244.58,245.08,18366
2010-01-04,11:00:00,245.1,246.27,245.07,246.2,10704
2010-01-04,11:30:00,246.18,246.24,245.84,245.94,3538
2010-01-04,14:30:00,247,247.43,246.61,246.84,13082
2010-01-04,15:00:00,246.85,247.02,246.01,246.03,9200
2010-01-05,10:00:00,250,250.99,249.71,250.83,25362
2010-01-05,11:00:00,250.83,251.18,250.65,251.08,8628
2010-01-05,11:30:00,251.08,252.09,250.92,252,9312
2010-01-05,14:30:00,251.32,252.17,251.3,251.8,13980
2010-01-05,15:00:00,251.78,253.25,251.73,253.22,16102
2010-01-06,10:00:00,251.01,252.52,251.01,252.52,22362
2010-01-06,11:00:00,252.58,253.14,252.32,252.9,12188
2010-01-06,11:30:00,252.9,253.08,252.39,252.68,5744
2010-01-06,14:30:00,252.6,253.08,252.58,253.06,10838
2010-01-06,15:00:00,253.06,253.1,250.59,250.98,21706
2010-01-07,10:00:00,255.1,255.48,254.23,254.56,26000
2010-01-07,11:00:00,254.55,254.57,251.2,252.41,27586
2010-01-07,11:30:00,252.41,253.29,252.38,252.51,8306
2010-01-07,14:30:00,252.45,252.96,252.22,252.3,11066
2010-01-07,15:00:00,252.3,252.8,251.4,252.3,13066
2010-01-08,10:00:00,251.22,251.22,250.03,250.47,16186
2010-01-08,11:00:00,250.46,250.7,249.24,249.56,14058
2010-01-08,11:30:00,249.55,250,249.51,249.68,3148
2010-01-08,14:30:00,249.88,250.1,249,249.82,12020
2010-01-08,15:00:00,249.85,249.85,249.3,249.56,7866
2010-01-11,10:00:00,257.5,258.44,256.89,257.1,23792
2010-01-11,11:00:00,257.11,257.45,256.66,257.39,8278
2010-01-11,11:30:00,257.39,257.75,257.33,257.52,4566
2010-01-11,14:30:00,257.14,257.48,256.85,256.93,6890
2010-01-11,15:00:00,256.95,257.3,256.8,256.8,7184
