36488, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-19,9:15:00,53635,53682,53508,53540,60456
2009-11-19,9:30:00,53540,53643,53528,53594,21906
2009-11-19,9:45:00,53599,53615,53529,53558,18282
2009-11-19,10:00:00,53558,53593,53557,53569,9242
2009-11-19,10:15:00,53569,53585,53543,53548,12174
2009-11-19,10:45:00,53553,53553,53397,53443,30580
2009-11-19,11:00:00,53443,53464,53341,53395,19474
2009-11-19,11:15:00,53395,53419,53342,53417,10272
2009-11-19,11:30:00,53412,53530,53407,53522,18546
2009-11-19,13:45:00,53500,53506,53400,53428,15630
2009-11-19,14:00:00,53428,53666,53423,53666,26258
2009-11-19,14:15:00,53666,53758,53655,53736,23660
2009-11-19,14:30:00,53746,53808,53700,53763,21412
2009-11-19,14:45:00,53763,53774,53658,53713,16294
2009-11-19,15:00:00,53718,53760,53551,53613,32892
2009-11-20,9:15:00,53492,53783,53484,53670,51522
2009-11-20,9:30:00,53670,53723,53542,53547,26078
2009-11-20,9:45:00,53547,53629,53529,53603,17238
2009-11-20,10:00:00,53605,53623,53547,53619,11554
2009-11-20,10:15:00,53619,53670,53590,53617,12266
2009-11-20,10:45:00,53617,53629,53552,53602,12650
2009-11-20,11:00:00,53607,53668,53607,53635,10760
2009-11-20,11:15:00,53635,53766,53608,53710,17284
2009-11-20,11:30:00,53710,53808,53704,53733,17916
2009-11-20,13:45:00,53743,53872,53714,53846,20578
2009-11-20,14:00:00,53851,53851,53778,53848,12918
2009-11-20,14:15:00,53848,53867,53779,53820,12112
2009-11-20,14:30:00,53813,53841,53771,53801,7462
2009-11-20,14:45:00,53796,53896,53787,53793,20310
2009-11-20,15:00:00,53788,53793,53732,53747,31728
2009-11-23,9:15:00,54336,54711,54302,54624,59856
2009-11-23,9:30:00,54618,54814,54605,54799,31742
2009-11-23,9:45:00,54804,54902,54788,54846,24436
2009-11-23,10:00:00,54846,54851,54731,54803,20782
2009-11-23,10:15:00,54803,54903,54787,54892,12554
2009-11-23,10:45:00,54906,54915,54846,54894,12240
2009-11-23,11:00:00,54895,54974,54855,54944,12394
2009-11-23,11:15:00,54940,54969,54860,54904,10744
2009-11-23,11:30:00,54904,54907,54852,54890,8334
2009-11-23,13:45:00,54900,54998,54900,54923,17110
2009-11-23,14:00:00,54923,55027,54907,55002,14616
2009-11-23,14:15:00,55002,55054,54990,55020,12164
2009-11-23,14:30:00,55020,55118,55020,55070,11916
2009-11-23,14:45:00,55068,55124,55027,55114,15966
2009-11-23,15:00:00,55114,55117,55021,55084,32374
2009-11-24,9:15:00,54582,54663,54409,54493,70310
2009-11-24,9:30:00,54493,54654,54486,54634,25282
2009-11-24,9:45:00,54634,54701,54600,54686,16722
