745, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2013-11-1,15:00:00,51750,52300,51740,52260,368460
2013-11-4,15:00:00,52020,52080,51580,51720,375308
2013-11-5,15:00:00,51600,51810,51430,51640,344002
2013-11-6,15:00:00,51650,51720,51390,51580,322606
2013-11-7,15:00:00,51340,51550,51270,51520,281746
2013-11-8,15:00:00,51370,51720,51340,51480,291480
2013-11-11,15:00:00,51640,51920,51550,51640,255456
2013-11-12,15:00:00,51570,51610,51310,51480,317892
2013-11-13,15:00:00,51060,51070,50530,50600,613726
2013-11-14,15:00:00,50330,50650,50320,50460,426420
2013-11-15,15:00:00,50530,50820,50070,50090,602878
2013-11-18,15:00:00,50340,50470,50210,50380,439420
2013-11-19,15:00:00,50020,50070,49680,49890,580492
2013-11-20,15:00:00,50050,50560,49990,50450,430388
2013-11-21,15:00:00,50210,50420,49990,50350,444042
2013-11-22,15:00:00,50630,50760,50410,50530,392758
2013-11-25,15:00:00,51020,51060,50530,50550,378334
2013-11-26,15:00:00,50820,50980,50660,50850,390984
2013-11-27,15:00:00,50730,50760,50530,50690,316552
2013-11-28,15:00:00,50480,50700,50360,50430,376582
2013-11-29,15:00:00,50630,50760,50540,50620,322426
2013-12-2,15:00:00,50680,50780,50520,50640,294332
2013-12-3,15:00:00,50280,50310,50020,50160,390764
2013-12-4,15:00:00,50170,50460,50140,50370,314290
2013-12-5,15:00:00,50880,50910,50680,50690,281142
2013-12-6,15:00:00,50730,50960,50580,50900,271278
2013-12-9,15:00:00,50910,51030,50760,50850,260462
2013-12-10,15:00:00,50950,51160,50930,51070,303076
2013-12-11,15:00:00,51170,51230,50960,51060,251302
2013-12-12,15:00:00,51310,51570,51270,51540,340890
2013-12-13,15:00:00,51410,51410,51040,51120,337390
2013-12-16,15:00:00,51330,51430,51260,51370,224994
2013-12-17,15:00:00,51540,51710,51390,51430,309336
2013-12-18,15:00:00,51400,51430,51100,51290,303788
2013-12-19,15:00:00,51370,51400,50930,51040,381502
2013-12-20,15:00:00,51050,51430,50910,51330,537588
2013-12-23,15:00:00,51330,51530,51160,51240,365708
2013-12-24,15:00:00,51260,52260,51230,52050,289268
2013-12-25,15:00:00,51990,52720,51870,52540,557370
2013-12-26,15:00:00,52540,52610,52070,52230,397778
2013-12-27,15:00:00,52200,52560,52130,52460,312088
2013-12-30,15:00:00,52440,52480,52040,52270,358468
2013-12-31,15:00:00,52270,52450,52130,52290,327394
2014-1-2,15:00:00,52290,52740,52220,52670,325324
2014-1-3,15:00:00,52490,52490,51830,51900,464526
2014-1-6,15:00:00,51880,52050,51680,51750,375488
2014-1-7,15:00:00,51620,52000,51580,51840,373512
2014-1-8,15:00:00,51890,52150,51660,52040,336650
2014-1-9,15:00:00,51990,52130,51200,51210,630646
2014-1-10,15:00:00,51190,51420,50920,51320,526290
2014-1-13,15:00:00,51320,52030,51280,51640,489824
2014-1-14,15:00:00,51440,51850,51260,51750,349750
2014-1-15,15:00:00,51770,51810,51260,51390,393362
2014-1-16,15:00:00,51530,52120,51390,51750,494122
2014-1-17,15:00:00,51670,51880,51590,51830,329760
2014-1-20,15:00:00,52030,52070,51730,51800,243444
2014-1-21,15:00:00,51650,51800,51490,51640,269394
2014-1-22,15:00:00,51500,51880,51360,51640,363628
2014-1-23,15:00:00,51520,51660,51270,51430,335678
2014-1-24,15:00:00,51340,51650,51020,51280,415126
2014-1-27,15:00:00,51200,51310,50870,50990,406736
2014-1-28,15:00:00,51040,51080,50870,51010,252748
2014-1-29,15:00:00,51080,51140,50860,51080,189986
2014-1-30,15:00:00,51000,51420,50590,50940,291346
2014-2-7,15:00:00,51000,51090,50870,51010,155012
2014-2-10,15:00:00,50950,51070,50870,51050,241074
2014-2-11,15:00:00,50980,51010,50300,50360,357666
2014-2-12,15:00:00,50480,50700,50300,50620,284340
2014-2-13,15:00:00,50630,50730,50530,50590,195404
2014-2-14,15:00:00,50510,50740,50380,50670,255286
2014-2-17,15:00:00,50780,51270,50700,51050,439946
2014-2-18,15:00:00,50960,51010,50590,50670,272486
2014-2-19,15:00:00,50790,50940,50700,50700,237074
2014-2-20,15:00:00,50760,50850,50380,50420,359200
2014-2-21,15:00:00,50470,50630,50400,50520,205426
2014-2-24,15:00:00,50510,50620,49660,49910,537502
2014-2-25,15:00:00,49820,50290,49490,49520,589210
2014-2-26,15:00:00,49550,49820,49300,49680,535828
2014-2-27,15:00:00,49790,49860,48990,49200,620278
2014-2-28,15:00:00,49230,49470,48930,49260,588244
2014-3-3,15:00:00,49270,49350,48690,48750,501858
2014-3-4,15:00:00,48740,49070,48590,48970,410306
2014-3-5,15:00:00,48960,49590,48920,49370,543906
2014-3-6,15:00:00,49310,49410,48960,49120,402800
2014-3-7,15:00:00,49160,49380,48850,48920,443330
2014-3-10,15:00:00,48180,48180,46660,46660,1548912
2014-3-11,15:00:00,46120,46560,45430,46210,1523992
2014-3-12,15:00:00,46170,46170,43700,44530,2239006
2014-3-13,15:00:00,44430,45100,44060,44420,1899400
2014-3-14,15:00:00,44420,44820,44020,44300,1406746
2014-3-17,15:00:00,44800,44930,44120,44200,1182582
2014-3-18,15:00:00,44780,45340,44440,44900,1145130
2014-3-19,15:00:00,44610,45090,44490,44720,1082792
2014-3-20,15:00:00,44390,46420,43760,45160,2369468
2014-3-21,15:00:00,44890,45580,44710,45140,1282728
2014-3-24,15:00:00,45580,45610,44840,45380,994446
2014-3-25,15:00:00,45410,46290,45130,45850,1102768
2014-3-26,15:00:00,46080,46360,45880,46130,968528
2014-3-27,15:00:00,45930,46200,45680,45680,843926
2014-3-28,15:00:00,46000,46550,45780,46400,1038364
2014-3-31,15:00:00,46580,46970,46540,46740,888862
2014-4-1,15:00:00,46620,46850,46570,46680,493526
2014-4-2,15:00:00,46710,47250,46550,46710,731910
2014-4-3,15:00:00,47040,47040,46130,46390,967748
2014-4-4,15:00:00,46470,46790,46320,46750,606956
2014-4-8,15:00:00,46620,46910,46570,46780,320384
2014-4-9,15:00:00,46640,46880,46440,46450,446576
2014-4-10,15:00:00,46480,46600,46090,46280,717484
2014-4-11,15:00:00,46390,46890,46300,46800,663848
2014-4-14,15:00:00,46650,47060,46470,46850,914902
2014-4-15,15:00:00,46840,46910,46430,46630,670498
2014-4-16,15:00:00,45930,46340,45840,46220,758760
2014-4-17,15:00:00,46730,46760,46440,46580,583684
2014-4-18,15:00:00,46590,46750,46310,46400,510418
2014-4-21,15:00:00,46390,46850,46240,46670,471370
2014-4-22,15:00:00,46580,46750,46360,46460,578000
2014-4-23,15:00:00,46600,46870,46510,46810,575316
2014-4-24,15:00:00,46670,47340,46620,47260,717042
2014-4-25,15:00:00,47280,48040,47260,47940,1072514
2014-4-28,15:00:00,47800,48160,47750,47980,694026
2014-4-29,15:00:00,47850,48020,47540,47600,587460
2014-4-30,15:00:00,47650,47670,47450,47630,380146
2014-5-5,15:00:00,47620,47880,47480,47620,287594
2014-5-6,15:00:00,47620,47630,47330,47500,403348
2014-5-7,15:00:00,47410,47560,47180,47190,394178
2014-5-8,15:00:00,47190,47190,46770,47070,532624
2014-5-9,15:00:00,47120,47560,47110,47560,502646
2014-5-12,15:00:00,47410,48310,47410,48300,774966
2014-5-13,15:00:00,48530,48860,48220,48460,707638
2014-5-14,15:00:00,48490,48740,48260,48730,561674
2014-5-15,15:00:00,48850,48970,48530,48900,665668
2014-5-16,15:00:00,48790,48800,48360,48450,581300
2014-5-19,15:00:00,48640,49220,48420,49100,743446
2014-5-20,15:00:00,48990,49220,48830,48950,514248
2014-5-21,15:00:00,48660,48710,48140,48150,565224
2014-5-22,15:00:00,48020,48610,47880,48380,660514
2014-5-23,15:00:00,48310,48850,48310,48820,487532
2014-5-26,15:00:00,48730,49300,48730,49240,453102
2014-5-27,15:00:00,49210,49270,48910,48960,376082
2014-5-28,15:00:00,48960,49090,48810,49030,384104
2014-5-29,15:00:00,49000,49040,48530,48550,438304
2014-5-30,15:00:00,48510,48760,48340,48690,587630
2014-6-3,15:00:00,48750,48930,48570,48720,294800
2014-6-4,15:00:00,48540,48550,48040,48140,487970
2014-6-5,15:00:00,48170,48330,47840,48320,525786
2014-6-6,15:00:00,48050,48320,48050,48230,479738
2014-6-9,15:00:00,47830,48020,47240,47370,968382
2014-6-10,15:00:00,47510,47650,47350,47480,517494
2014-6-11,15:00:00,47460,47900,47410,47810,518514
2014-6-12,15:00:00,47530,47710,47420,47430,423018
2014-6-13,15:00:00,47500,47810,47290,47660,626628
2014-6-16,15:00:00,47660,48020,47610,47990,447836
2014-6-17,15:00:00,47910,48150,47880,48070,374904
2014-6-18,15:00:00,47940,48300,47910,47990,357136
2014-6-19,15:00:00,48100,48210,47720,47910,339712
2014-6-20,15:00:00,47960,48670,47940,48630,532590
2014-6-23,15:00:00,48520,49480,48520,49430,737398
2014-6-24,15:00:00,49390,49540,49080,49250,463506
2014-6-25,15:00:00,49290,49330,49060,49290,344820
2014-6-26,15:00:00,49130,49790,49100,49710,606276
2014-6-27,15:00:00,49660,49820,49490,49660,452620
2014-6-30,15:00:00,49690,49780,49530,49750,377078
2014-7-1,15:00:00,49770,50540,49720,50500,638354
2014-7-2,15:00:00,50440,50640,49990,50410,488356
2014-7-3,15:00:00,50770,51280,50580,51170,712622
2014-7-4,15:00:00,51120,51630,51040,51440,579314
2014-7-7,15:00:00,51370,51470,50640,50880,562484
2014-7-8,15:00:00,51040,51260,50790,51200,511612
2014-7-9,15:00:00,51230,51480,50710,50950,589144
2014-7-10,15:00:00,51090,51100,50490,50580,582682
2014-7-11,15:00:00,50550,50960,50480,50920,414438
2014-7-14,15:00:00,50800,51060,50570,50670,494576
2014-7-15,15:00:00,50720,50820,50060,50600,689540
2014-7-16,15:00:00,50560,50650,50340,50400,496886
2014-7-17,15:00:00,50480,50480,49820,49920,627318
2014-7-18,15:00:00,50070,50070,49670,49690,466358
2014-7-21,15:00:00,49550,49610,49170,49530,574528
2014-7-22,15:00:00,49640,50070,49580,49850,524866
2014-7-23,15:00:00,49910,50060,49670,49960,416664
2014-7-24,15:00:00,49880,50630,49840,50600,579408
2014-7-25,15:00:00,50640,51010,50560,50980,468488
2014-7-28,15:00:00,50870,50970,50240,50580,593224
2014-7-29,15:00:00,50500,50830,50470,50750,391250
2014-7-30,15:00:00,50430,50490,50030,50200,489152
2014-7-31,15:00:00,50400,50600,50380,50540,394728
2014-8-1,15:00:00,50520,50650,50260,50570,345964
2014-8-4,15:00:00,50440,50530,50110,50250,342850
2014-8-5,15:00:00,50500,50660,50400,50580,318034
2014-8-6,15:00:00,50210,50260,49760,49760,523232
2014-8-7,15:00:00,49580,49970,49560,49790,427150
2014-8-8,15:00:00,49720,50040,49580,49720,405008
2014-8-11,15:00:00,49730,50120,49680,49890,324734
2014-8-12,15:00:00,49950,49970,49490,49780,377522
2014-8-13,15:00:00,49730,49830,49280,49280,472600
2014-8-14,15:00:00,49310,49320,48840,48910,500544
2014-8-15,15:00:00,48870,49100,48600,48900,446420
2014-8-18,15:00:00,48820,49170,48750,48940,335472
2014-8-19,15:00:00,49010,49370,48960,49330,304948
2014-8-20,15:00:00,49160,49520,48830,49460,554928
2014-8-21,15:00:00,49470,50380,49470,50130,783142
2014-8-22,15:00:00,50130,50740,50080,50670,691810
2014-8-25,15:00:00,50620,50840,50480,50550,412792
2014-8-26,15:00:00,50630,50680,50340,50510,287374
2014-8-27,15:00:00,50540,50580,50080,50180,341558
2014-8-28,15:00:00,50290,50350,49990,50120,347002
2014-8-29,15:00:00,50010,50010,49340,49640,616724
2014-9-1,15:00:00,49680,50060,49510,49520,427528
2014-9-2,15:00:00,49480,49970,49400,49680,424650
2014-9-3,15:00:00,49600,50030,49540,49710,461920
2014-9-4,15:00:00,49580,49710,49370,49550,462098
2014-9-5,15:00:00,49830,49980,49570,49850,426702
2014-9-9,15:00:00,49950,49960,49330,49380,357676
2014-9-10,15:00:00,49360,49400,48580,48870,851388
2014-9-11,15:00:00,48930,49100,48160,48180,733048
