36058, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,9:15:00,53570,53720,53420,53670,57378
2009-11-18,9:30:00,53670,53670,53480,53500,24322
2009-11-18,9:45:00,53500,53530,53360,53420,21474
2009-11-18,10:00:00,53420,53490,53360,53380,11520
2009-11-18,10:15:00,53370,53460,53350,53450,8258
2009-11-18,10:45:00,53500,53530,53440,53490,12938
2009-11-18,11:00:00,53500,53520,53440,53480,5922
2009-11-18,11:15:00,53480,53500,53420,53440,5652
2009-11-18,11:30:00,53440,53510,53420,53460,8576
2009-11-18,13:45:00,53500,53590,53450,53580,15158
2009-11-18,14:00:00,53590,53670,53580,53630,18558
2009-11-18,14:15:00,53620,53750,53580,53590,15910
2009-11-18,14:30:00,53620,53700,53620,53670,10346
2009-11-18,14:45:00,53680,53800,53640,53670,24860
2009-11-18,15:00:00,53670,53950,53670,53940,42106
2009-11-19,9:15:00,53650,53670,53470,53500,47214
2009-11-19,9:30:00,53500,53610,53490,53540,15074
2009-11-19,9:45:00,53550,53580,53480,53510,13554
2009-11-19,10:00:00,53510,53560,53510,53530,5252
2009-11-19,10:15:00,53530,53560,53500,53520,6984
2009-11-19,10:45:00,53530,53530,53350,53410,21892
2009-11-19,11:00:00,53410,53430,53300,53360,14660
2009-11-19,11:15:00,53360,53390,53300,53390,7212
2009-11-19,11:30:00,53380,53490,53370,53490,13688
2009-11-19,13:45:00,53450,53480,53330,53370,11474
2009-11-19,14:00:00,53370,53640,53360,53640,20468
2009-11-19,14:15:00,53640,53720,53600,53700,16080
2009-11-19,14:30:00,53720,53760,53640,53730,15148
2009-11-19,14:45:00,53710,53730,53600,53660,11940
2009-11-19,15:00:00,53670,53720,53480,53520,25842
2009-11-20,9:15:00,53500,53730,53410,53590,34816
2009-11-20,9:30:00,53590,53670,53460,53480,16182
2009-11-20,9:45:00,53480,53570,53460,53540,12262
2009-11-20,10:00:00,53530,53560,53470,53550,7872
2009-11-20,10:15:00,53550,53620,53520,53550,8974
2009-11-20,10:45:00,53550,53570,53480,53550,9062
2009-11-20,11:00:00,53540,53620,53540,53580,6978
2009-11-20,11:15:00,53580,53720,53570,53650,12266
2009-11-20,11:30:00,53650,53770,53640,53670,13954
2009-11-20,13:45:00,53700,53840,53660,53800,13410
2009-11-20,14:00:00,53810,53810,53720,53810,9128
2009-11-20,14:15:00,53810,53830,53720,53780,8464
2009-11-20,14:30:00,53770,53800,53710,53760,5390
2009-11-20,14:45:00,53760,53880,53740,53750,14548
2009-11-20,15:00:00,53750,53760,53680,53680,23348
2009-11-23,9:15:00,54230,54680,54230,54570,43182
2009-11-23,9:30:00,54570,54770,54540,54730,19166
2009-11-23,9:45:00,54740,54850,54710,54770,14556
2009-11-23,10:00:00,54770,54780,54650,54730,13324
2009-11-23,10:15:00,54720,54830,54700,54810,8020
2009-11-23,10:45:00,54840,54850,54770,54820,7358
2009-11-23,11:00:00,54820,54920,54780,54880,8188
2009-11-23,11:15:00,54870,54910,54780,54850,7592
2009-11-23,11:30:00,54850,54850,54770,54830,5224
2009-11-23,13:45:00,54870,54940,54820,54840,7924
2009-11-23,14:00:00,54840,54950,54820,54930,8694
2009-11-23,14:15:00,54930,54990,54920,54940,8082
2009-11-23,14:30:00,54940,55050,54940,54990,8280
2009-11-23,14:45:00,54990,55060,54950,55050,9296
2009-11-23,15:00:00,55050,55050,54950,55010,18782
2009-11-24,9:15:00,54510,54610,54350,54450,44734
2009-11-24,9:30:00,54450,54580,54430,54560,14390
2009-11-24,9:45:00,54550,54640,54520,54610,10096
2009-11-24,10:00:00,54620,54690,54580,54680,8394
2009-11-24,10:15:00,54680,54840,54660,54750,12116
2009-11-24,10:45:00,54760,54880,54750,54800,7804
2009-11-24,11:00:00,54790,54810,54720,54750,6400
2009-11-24,11:15:00,54750,54800,54730,54730,5262
2009-11-24,11:30:00,54740,54750,54450,54470,16828
2009-11-24,13:45:00,54590,54630,54190,54230,21918
2009-11-24,14:00:00,54250,54350,54180,54280,19210
2009-11-24,14:15:00,54290,54410,54280,54360,9178
2009-11-24,14:30:00,54300,54300,54030,54030,20356
2009-11-24,14:45:00,54040,54130,53810,53960,31102
2009-11-24,15:00:00,53960,54120,53850,53880,21570
2009-11-25,9:15:00,54360,54480,54320,54460,34172
2009-11-25,9:30:00,54460,54610,54380,54530,16818
2009-11-25,9:45:00,54540,54590,54250,54300,23306
2009-11-25,10:00:00,54310,54400,54310,54400,8496
2009-11-25,10:15:00,54400,54460,54370,54400,7790
2009-11-25,10:45:00,54440,54500,54350,54390,8254
2009-11-25,11:00:00,54400,54410,54300,54330,4554
2009-11-25,11:15:00,54340,54400,54210,54390,9400
2009-11-25,11:30:00,54390,54460,54390,54450,8438
2009-11-25,13:45:00,54550,54600,54520,54540,11056
2009-11-25,14:00:00,54540,54550,54480,54500,5668
2009-11-25,14:15:00,54510,54600,54500,54580,5010
2009-11-25,14:30:00,54600,54720,54590,54630,8734
2009-11-25,14:45:00,54610,54680,54610,54640,4620
2009-11-25,15:00:00,54630,54690,54600,54680,10732
2009-11-26,9:15:00,55410,55640,55410,55480,32278
2009-11-26,9:30:00,55490,55850,55480,55800,28352
2009-11-26,9:45:00,55800,55900,55750,55830,16094
2009-11-26,10:00:00,55830,55840,55750,55750,10050
2009-11-26,10:15:00,55750,55770,55550,55740,15568
2009-11-26,10:45:00,55730,55750,55560,55620,13414
2009-11-26,11:00:00,55620,55650,55370,55540,21536
2009-11-26,11:15:00,55550,55650,55510,55640,12310
2009-11-26,11:30:00,55640,55700,55530,55620,14364
2009-11-26,13:45:00,55340,55380,55060,55110,33798
2009-11-26,14:00:00,55110,55230,55050,55200,25104
2009-11-26,14:15:00,55210,55320,55190,55280,15826
2009-11-26,14:30:00,55200,55360,55170,55320,13740
2009-11-26,14:45:00,55330,55420,55190,55210,21368
2009-11-26,15:00:00,55220,55350,55180,55330,24848
2009-11-27,9:15:00,54400,54650,54000,54160,64314
2009-11-27,9:30:00,54150,54330,54130,54330,28412
2009-11-27,9:45:00,54320,54470,54320,54440,21256
2009-11-27,10:00:00,54450,54550,54380,54490,15762
2009-11-27,10:15:00,54480,54500,54360,54380,12614
2009-11-27,10:45:00,54400,54450,54270,54410,14132
2009-11-27,11:00:00,54410,54490,54380,54470,12954
2009-11-27,11:15:00,54470,54680,54450,54600,19904
2009-11-27,11:30:00,54590,54610,54350,54370,19936
2009-11-27,13:45:00,54160,54190,53990,54080,38790
2009-11-27,14:00:00,54080,54150,53780,53860,37722
2009-11-27,14:15:00,53870,53880,53540,53750,34282
2009-11-27,14:30:00,53650,53650,53390,53600,36052
2009-11-27,14:45:00,53600,53660,53480,53520,27640
2009-11-27,15:00:00,53520,53760,53520,53700,32262
2009-11-30,9:15:00,54620,54980,54530,54840,61964
2009-11-30,9:30:00,54840,55120,54840,55010,33204
2009-11-30,9:45:00,55020,55080,54970,55010,14946
2009-11-30,10:00:00,55010,55030,54830,54870,18574
2009-11-30,10:15:00,54870,54980,54850,54980,9868
2009-11-30,10:45:00,54970,55010,54920,54960,9710
2009-11-30,11:00:00,54990,55000,54900,54930,7604
2009-11-30,11:15:00,54930,55000,54910,54990,6394
2009-11-30,11:30:00,54990,55030,54950,55000,12284
2009-11-30,13:45:00,54790,54870,54600,54720,29430
2009-11-30,14:00:00,54720,54800,54630,54630,17068
2009-11-30,14:15:00,54630,54680,54580,54640,15406
2009-11-30,14:30:00,54650,54760,54640,54680,11456
2009-11-30,14:45:00,54680,54930,54680,54920,19724
2009-11-30,15:00:00,54910,54920,54820,54830,24140
2009-12-1,9:15:00,55350,55430,55040,55110,46578
2009-12-1,9:30:00,55110,55140,54940,54950,21696
2009-12-1,9:45:00,54950,55040,54880,55000,22136
2009-12-1,10:00:00,55000,55080,54970,55030,11846
2009-12-1,10:15:00,55030,55050,54830,54950,18286
2009-12-1,10:45:00,54960,55020,54890,54910,12520
2009-12-1,11:00:00,54920,54960,54880,54910,8106
2009-12-1,11:15:00,54910,54980,54880,54950,10338
2009-12-1,11:30:00,54960,54980,54890,54940,7536
2009-12-1,13:45:00,54840,55090,54820,55060,23216
2009-12-1,14:00:00,55070,55200,55030,55160,25522
2009-12-1,14:15:00,55160,55190,55070,55110,12546
2009-12-1,14:30:00,55120,55180,55110,55130,6010
2009-12-1,14:45:00,55130,55140,54970,55020,19448
2009-12-1,15:00:00,55020,55050,54940,55020,23746
2009-12-2,9:15:00,55650,55730,55450,55450,57454
2009-12-2,9:30:00,55450,55520,55370,55510,26660
2009-12-2,9:45:00,55520,55600,55470,55540,16346
2009-12-2,10:00:00,55540,55570,55430,55460,14356
2009-12-2,10:15:00,55460,55590,55450,55530,15714
2009-12-2,10:45:00,55560,55650,55550,55620,19594
2009-12-2,11:00:00,55620,55650,55580,55640,9464
2009-12-2,11:15:00,55640,55730,55640,55650,17142
2009-12-2,11:30:00,55650,55700,55630,55650,11512
2009-12-2,13:45:00,55750,55810,55690,55780,20146
2009-12-2,14:00:00,55770,55850,55730,55750,16320
2009-12-2,14:15:00,55750,55800,55710,55740,6754
2009-12-2,14:30:00,55710,55730,55630,55650,15122
2009-12-2,14:45:00,55650,55680,55580,55640,16638
2009-12-2,15:00:00,55650,55670,55580,55620,22506
2009-12-3,9:15:00,55880,55980,55750,55870,44856
2009-12-3,9:30:00,55870,56170,55860,56080,40590
2009-12-3,9:45:00,56090,56120,56000,56050,17328
2009-12-3,10:00:00,56050,56120,56030,56060,8176
2009-12-3,10:15:00,56050,56060,55890,55980,17534
2009-12-3,10:45:00,55980,56070,55960,56020,8212
2009-12-3,11:00:00,56020,56040,55960,56000,8018
2009-12-3,11:15:00,56000,56080,55980,56030,7146
2009-12-3,11:30:00,56040,56100,56030,56080,7650
2009-12-3,13:45:00,56020,56110,56020,56060,10036
2009-12-3,14:00:00,56060,56070,55850,55900,28516
2009-12-3,14:15:00,55890,55900,55590,55610,25788
2009-12-3,14:30:00,55580,55870,55540,55860,26650
2009-12-3,14:45:00,55860,55900,55820,55850,16578
2009-12-3,15:00:00,55840,55930,55780,55920,22936
2009-12-4,9:15:00,55630,55650,55460,55600,40652
2009-12-4,9:30:00,55600,55700,55590,55600,15034
2009-12-4,9:45:00,55600,55680,55550,55660,9238
2009-12-4,10:00:00,55650,55720,55630,55660,11024
2009-12-4,10:15:00,55650,55690,55610,55680,8018
2009-12-4,10:45:00,55670,55750,55670,55670,11592
2009-12-4,11:00:00,55670,55810,55670,55780,10544
2009-12-4,11:15:00,55780,55860,55730,55740,12304
2009-12-4,11:30:00,55740,55750,55650,55650,16380
2009-12-4,13:45:00,55560,55600,55460,55580,22212
2009-12-4,14:00:00,55570,55690,55520,55680,15684
2009-12-4,14:15:00,55690,55720,55630,55660,8690
2009-12-4,14:30:00,55670,55750,55630,55720,9886
2009-12-4,14:45:00,55740,55850,55710,55800,18074
2009-12-4,15:00:00,55810,55940,55770,55930,25796
2009-12-8,9:15:00,55910,56060,55800,55830,39278
2009-12-8,9:30:00,55830,55890,55780,55890,16212
2009-12-8,9:45:00,55880,55900,55800,55880,11936
2009-12-8,10:00:00,55880,55890,55810,55830,6374
2009-12-8,10:15:00,55840,55850,55750,55810,16330
2009-12-8,10:45:00,55810,55820,55690,55800,15914
2009-12-8,11:00:00,55800,55810,55750,55770,5624
2009-12-8,11:15:00,55770,55890,55760,55870,10494
2009-12-8,11:30:00,55860,55870,55800,55820,6810
2009-12-8,13:45:00,55780,55850,55760,55840,8798
2009-12-8,14:00:00,55850,55940,55840,55880,18050
2009-12-8,14:15:00,55870,55900,55830,55890,6618
2009-12-8,14:30:00,55880,55900,55850,55870,6530
2009-12-8,14:45:00,55870,55900,55850,55860,6572
2009-12-8,15:00:00,55860,55900,55830,55840,13968
2009-12-9,9:15:00,55000,55100,54850,54910,55918
2009-12-9,9:30:00,54910,54990,54850,54950,17670
2009-12-9,9:45:00,54950,55010,54950,54980,10468
2009-12-9,10:00:00,54970,55070,54970,55010,11896
2009-12-9,10:15:00,55010,55100,55000,55040,7604
2009-12-9,10:45:00,55030,55170,55030,55120,9738
2009-12-9,11:00:00,55120,55180,55080,55150,9276
2009-12-9,11:15:00,55150,55160,55060,55090,7994
2009-12-9,11:30:00,55080,55100,55030,55050,8180
2009-12-9,13:45:00,55090,55110,55070,55090,5506
2009-12-9,14:00:00,55100,55100,54880,54940,21704
2009-12-9,14:15:00,54940,54980,54880,54930,8960
2009-12-9,14:30:00,54930,54950,54680,54710,23176
2009-12-9,14:45:00,54700,54700,54500,54570,27988
2009-12-9,15:00:00,54560,54700,54520,54620,25412
2009-12-10,9:15:00,54620,54750,54530,54640,36264
2009-12-10,9:30:00,54640,54650,54450,54600,18434
2009-12-10,9:45:00,54610,54650,54570,54590,9330
