1633, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2010-5-11,15:00:00,4528,4540,4470,4473,2837236
2010-5-12,15:00:00,4460,4460,4391,4401,3353762
2010-5-13,15:00:00,4403,4421,4368,4395,3120402
2010-5-14,15:00:00,4377,4414,4360,4363,2976976
2010-5-17,15:00:00,4324,4325,4175,4182,3372142
2010-5-18,15:00:00,4200,4244,4140,4211,4174388
2010-5-19,15:00:00,4159,4250,4154,4224,3914688
2010-5-20,15:00:00,4241,4297,4231,4252,3591082
2010-5-21,15:00:00,4217,4245,4165,4230,3549056
2010-5-24,15:00:00,4265,4322,4260,4319,2811692
2010-5-25,15:00:00,4290,4313,4263,4266,3132284
2010-5-26,15:00:00,4289,4298,4255,4274,2871220
2010-5-27,15:00:00,4258,4285,4228,4272,3157136
2010-5-28,15:00:00,4289,4314,4253,4259,2899348
2010-5-31,15:00:00,4235,4259,4218,4218,2476180
2010-6-1,15:00:00,4205,4215,4177,4181,2681684
2010-6-2,15:00:00,4171,4207,4152,4188,3219474
2010-6-3,15:00:00,4211,4217,4185,4203,2377938
2010-6-4,15:00:00,4171,4187,4167,4184,1588558
2010-6-7,15:00:00,4066,4089,4013,4027,3984480
2010-6-8,15:00:00,4039,4068,4037,4067,1813358
2010-6-9,15:00:00,4074,4112,4049,4107,1856006
2010-6-10,15:00:00,4093,4105,4075,4089,1522448
2010-6-11,15:00:00,4101,4130,4098,4118,1217904
2010-6-17,15:00:00,4139,4153,4119,4120,1049982
2010-6-18,15:00:00,4119,4133,4098,4100,1296976
2010-6-21,15:00:00,4116,4181,4099,4173,2452972
2010-6-22,15:00:00,4141,4166,4139,4149,1367266
2010-6-23,15:00:00,4099,4128,4073,4094,2482798
2010-6-24,15:00:00,4100,4122,4095,4114,1370814
2010-6-25,15:00:00,4109,4114,4088,4097,1137454
2010-6-28,15:00:00,4116,4117,4042,4053,2283546
2010-6-29,15:00:00,4033,4051,3998,4011,2067676
2010-6-30,15:00:00,3983,4008,3977,4004,1258374
2010-7-1,15:00:00,3992,4005,3975,3983,1371606
2010-7-2,15:00:00,3972,4003,3947,4000,2119382
2010-7-5,15:00:00,3994,4025,3981,4017,1699286
2010-7-6,15:00:00,4002,4028,3992,3998,1656714
2010-7-7,15:00:00,4003,4013,3989,4000,1239024
2010-7-8,15:00:00,4027,4033,3970,3971,1813894
2010-7-9,15:00:00,3963,3997,3951,3992,2143848
2010-7-12,15:00:00,3987,4018,3979,4009,1997230
2010-7-13,15:00:00,4003,4009,3975,3984,1725668
2010-7-14,15:00:00,3991,4007,3972,3987,2278990
2010-7-15,15:00:00,3981,4004,3967,3985,2054228
2010-7-16,15:00:00,3993,4001,3984,3998,1218312
2010-7-19,15:00:00,3983,4072,3982,4069,2772360
2010-7-20,15:00:00,4073,4128,4067,4125,2923968
2010-7-21,15:00:00,4122,4143,4114,4123,2606256
2010-7-22,15:00:00,4125,4137,4113,4123,1946772
2010-7-23,15:00:00,4143,4185,4138,4176,3117930
2010-7-26,15:00:00,4180,4190,4161,4168,2148708
2010-7-27,15:00:00,4165,4169,4112,4114,2228952
2010-7-28,15:00:00,4110,4182,4106,4179,2228670
2010-7-29,15:00:00,4177,4200,4158,4176,2563044
