16416, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-12-1,9:30:00,4206,4216,4168,4169,777948
2009-12-1,10:00:00,4169,4178,4158,4176,493736
2009-12-1,10:30:00,4176,4179,4164,4172,228508
2009-12-1,11:00:00,4172,4179,4168,4170,328706
2009-12-1,11:30:00,4169,4195,4167,4187,500470
2009-12-1,14:00:00,4187,4205,4183,4201,527686
2009-12-1,14:30:00,4201,4205,4196,4202,230314
2009-12-1,15:00:00,4201,4201,4190,4191,445816
2009-12-2,9:30:00,4207,4217,4185,4200,650888
2009-12-2,10:00:00,4200,4206,4197,4199,349912
2009-12-2,10:30:00,4200,4205,4198,4204,108142
2009-12-2,11:00:00,4204,4226,4202,4226,386770
2009-12-2,11:30:00,4226,4234,4224,4231,421646
2009-12-2,14:00:00,4231,4238,4227,4228,375212
2009-12-2,14:30:00,4227,4231,4210,4212,407608
2009-12-2,15:00:00,4212,4221,4211,4217,407190
2009-12-3,9:30:00,4216,4235,4211,4227,566904
2009-12-3,10:00:00,4227,4229,4218,4225,339666
2009-12-3,10:30:00,4225,4229,4221,4227,164046
2009-12-3,11:00:00,4227,4236,4226,4233,317994
2009-12-3,11:30:00,4233,4239,4229,4231,265078
2009-12-3,14:00:00,4231,4232,4223,4227,244640
2009-12-3,14:30:00,4227,4227,4218,4223,243020
2009-12-3,15:00:00,4223,4230,4222,4226,283482
2009-12-4,9:30:00,4215,4219,4199,4213,513536
2009-12-4,10:00:00,4212,4220,4209,4215,278686
2009-12-4,10:30:00,4216,4220,4214,4218,94738
2009-12-4,11:00:00,4219,4245,4218,4242,451030
2009-12-4,11:30:00,4241,4246,4223,4224,388266
2009-12-4,14:00:00,4224,4227,4208,4225,477500
2009-12-4,14:30:00,4226,4231,4222,4226,176920
2009-12-4,15:00:00,4226,4237,4226,4230,376384
2009-12-7,9:30:00,4217,4239,4215,4235,492904
2009-12-7,10:00:00,4235,4238,4232,4237,194758
2009-12-7,10:30:00,4237,4237,4231,4234,102818
2009-12-7,11:00:00,4234,4253,4233,4250,329552
2009-12-7,11:30:00,4250,4258,4237,4237,377450
2009-12-7,14:00:00,4237,4247,4236,4238,220382
2009-12-7,14:30:00,4238,4242,4234,4240,142420
2009-12-7,15:00:00,4240,4248,4234,4234,323906
2009-12-8,9:30:00,4242,4243,4176,4193,768524
2009-12-8,10:00:00,4192,4196,4186,4193,305464
2009-12-8,10:30:00,4193,4194,4181,4188,198218
2009-12-8,11:00:00,4187,4187,4164,4184,581260
2009-12-8,11:30:00,4183,4192,4181,4185,272490
2009-12-8,14:00:00,4185,4204,4176,4202,497778
2009-12-8,14:30:00,4201,4209,4197,4204,223420
2009-12-8,15:00:00,4204,4209,4193,4195,337164
2009-12-9,9:30:00,4156,4164,4140,4149,530058
2009-12-9,10:00:00,4150,4167,4149,4163,238962
2009-12-9,10:30:00,4162,4169,4161,4165,106202
2009-12-9,11:00:00,4165,4177,4163,4174,249710
2009-12-9,11:30:00,4174,4178,4161,4164,273066
2009-12-9,14:00:00,4164,4173,4162,4165,225996
2009-12-9,14:30:00,4165,4170,4156,4157,145502
2009-12-9,15:00:00,4156,4166,4155,4157,279444
2009-12-10,9:30:00,4149,4210,4144,4210,665356
2009-12-10,10:00:00,4209,4215,4201,4201,389786
2009-12-10,10:30:00,4201,4207,4201,4204,111532
2009-12-10,11:00:00,4205,4206,4181,4181,374798
2009-12-10,11:30:00,4181,4182,4165,4173,401996
2009-12-10,14:00:00,4173,4187,4159,4185,495386
2009-12-10,14:30:00,4185,4194,4178,4180,357654
2009-12-10,15:00:00,4180,4227,4180,4226,784664
2009-12-11,9:30:00,4252,4274,4245,4266,837450
2009-12-11,10:00:00,4266,4270,4256,4269,394040
2009-12-11,10:30:00,4270,4275,4265,4274,164988
2009-12-11,11:00:00,4274,4276,4259,4263,342402
2009-12-11,11:30:00,4264,4272,4261,4267,312540
2009-12-11,14:00:00,4268,4276,4267,4272,318994
2009-12-11,14:30:00,4272,4291,4272,4290,377208
2009-12-11,15:00:00,4290,4296,4281,4287,611554
2009-12-14,9:30:00,4296,4296,4232,4254,742598
2009-12-14,10:00:00,4254,4263,4250,4260,287062
2009-12-14,10:30:00,4260,4278,4259,4268,212958
2009-12-14,11:00:00,4268,4277,4262,4273,252164
2009-12-14,11:30:00,4273,4274,4262,4269,159502
2009-12-14,14:00:00,4275,4296,4275,4295,422334
2009-12-14,14:30:00,4295,4304,4289,4295,312330
2009-12-14,15:00:00,4295,4326,4292,4324,617730
2009-12-15,9:30:00,4329,4330,4300,4311,554500
2009-12-15,10:00:00,4311,4325,4311,4323,268484
2009-12-15,10:30:00,4324,4328,4321,4321,111380
2009-12-15,11:00:00,4321,4324,4309,4317,327206
2009-12-15,11:30:00,4316,4318,4293,4299,395214
2009-12-15,14:00:00,4295,4321,4291,4317,410258
2009-12-15,14:30:00,4318,4326,4313,4320,308186
2009-12-15,15:00:00,4320,4320,4296,4300,454384
2009-12-16,9:30:00,4302,4306,4284,4298,373102
