10022, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-19,10:00:00,4128,4188,4128,4182,1422814
2009-11-19,11:00:00,4182,4194,4182,4194,574712
2009-11-19,11:30:00,4194,4198,4187,4195,371666
2009-11-19,14:30:00,4196,4221,4195,4209,1202866
2009-11-19,15:00:00,4209,4216,4195,4201,669042
2009-11-20,10:00:00,4204,4231,4187,4199,1374216
2009-11-20,11:00:00,4199,4199,4172,4191,655474
2009-11-20,11:30:00,4191,4194,4180,4192,341582
2009-11-20,14:30:00,4193,4200,4181,4183,550244
2009-11-20,15:00:00,4183,4192,4181,4189,325446
2009-11-23,10:00:00,4206,4240,4195,4234,1474154
2009-11-23,11:00:00,4233,4249,4229,4244,569972
2009-11-23,11:30:00,4244,4244,4234,4240,286284
2009-11-23,14:30:00,4241,4250,4239,4248,553598
2009-11-23,15:00:00,4248,4259,4239,4254,568354
2009-11-24,10:00:00,4243,4274,4236,4271,1330038
2009-11-24,11:00:00,4271,4277,4260,4264,619574
2009-11-24,11:30:00,4265,4268,4241,4245,435164
2009-11-24,14:30:00,4245,4254,4218,4218,938536
2009-11-24,15:00:00,4218,4219,4179,4207,777366
2009-11-25,10:00:00,4216,4229,4204,4225,960886
2009-11-25,11:00:00,4225,4241,4224,4224,679276
2009-11-25,11:30:00,4225,4238,4218,4233,306922
2009-11-25,14:30:00,4233,4259,4233,4249,584732
2009-11-25,15:00:00,4249,4258,4243,4250,379888
2009-11-26,10:00:00,4268,4289,4264,4272,1033714
2009-11-26,11:00:00,4272,4273,4246,4252,661898
2009-11-26,11:30:00,4252,4261,4247,4252,340006
2009-11-26,14:30:00,4252,4252,4213,4230,1018290
2009-11-26,15:00:00,4230,4244,4224,4237,564550
2009-11-27,10:00:00,4212,4213,4127,4168,1811804
2009-11-27,11:00:00,4168,4172,4158,4169,567054
2009-11-27,11:30:00,4169,4178,4165,4168,378558
2009-11-27,14:30:00,4168,4168,4095,4111,1314834
2009-11-27,15:00:00,4111,4118,4107,4108,417494
2009-11-30,10:00:00,4155,4212,4148,4188,1621402
2009-11-30,11:00:00,4188,4208,4186,4201,508354
2009-11-30,11:30:00,4201,4210,4197,4207,301522
2009-11-30,14:30:00,4200,4200,4166,4180,1054672
2009-11-30,15:00:00,4180,4203,4175,4189,641446
2009-12-1,10:00:00,4206,4216,4158,4176,1271684
2009-12-1,11:00:00,4176,4179,4164,4170,557214
2009-12-1,11:30:00,4169,4195,4167,4187,500470
2009-12-1,14:30:00,4187,4205,4183,4202,758000
2009-12-1,15:00:00,4201,4201,4190,4191,445816
2009-12-2,10:00:00,4207,4217,4185,4199,1000800
2009-12-2,11:00:00,4200,4226,4198,4226,494912
2009-12-2,11:30:00,4226,4234,4224,4231,421646
2009-12-2,14:30:00,4231,4238,4210,4212,782820
