14920, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2013-10-17,9:15:00,21190,21190,21070,21120,97342
2013-10-17,9:30:00,21120,21125,21020,21025,58430
2013-10-17,9:45:00,21030,21060,20895,20915,72244
2013-10-17,10:00:00,20915,20930,20860,20885,51376
2013-10-17,10:15:00,20880,20930,20870,20885,26206
2013-10-17,10:45:00,20885,20905,20685,20760,92178
2013-10-17,11:00:00,20765,20785,20730,20745,33044
2013-10-17,11:15:00,20750,20805,20740,20775,28224
2013-10-17,11:30:00,20780,20790,20715,20740,33734
2013-10-17,13:45:00,20690,20730,20650,20695,54388
2013-10-17,14:00:00,20695,20720,20655,20680,28316
2013-10-17,14:15:00,20675,20720,20665,20670,30600
2013-10-17,14:30:00,20665,20695,20620,20635,39914
2013-10-17,14:45:00,20635,20660,20545,20620,70718
2013-10-17,15:00:00,20620,20620,20425,20430,100434
2013-10-18,9:15:00,20485,20530,20430,20485,70660
2013-10-18,9:30:00,20485,20545,20445,20535,39358
2013-10-18,9:45:00,20535,20545,20465,20545,26724
2013-10-18,10:00:00,20545,20575,20490,20500,34438
2013-10-18,10:15:00,20500,20570,20480,20520,31170
2013-10-18,10:45:00,20525,20545,20370,20435,70160
2013-10-18,11:00:00,20440,20575,20430,20555,66274
2013-10-18,11:15:00,20555,20560,20505,20525,24790
2013-10-18,11:30:00,20525,20535,20470,20520,30848
2013-10-18,13:45:00,20525,20615,20515,20525,51934
2013-10-18,14:00:00,20525,20575,20525,20570,21586
2013-10-18,14:15:00,20570,20585,20505,20555,29500
2013-10-18,14:30:00,20560,20560,20460,20535,42424
2013-10-18,14:45:00,20535,20540,20475,20515,24210
2013-10-18,15:00:00,20520,20535,20460,20480,43342
2013-10-21,9:15:00,20450,20455,20315,20370,77060
2013-10-21,9:30:00,20375,20530,20330,20515,60056
2013-10-21,9:45:00,20510,20635,20485,20495,68842
2013-10-21,10:00:00,20490,20520,20470,20495,26730
2013-10-21,10:15:00,20495,20550,20490,20510,23282
2013-10-21,10:45:00,20510,20555,20460,20490,32228
2013-10-21,11:00:00,20490,20545,20475,20545,16258
2013-10-21,11:15:00,20550,20570,20490,20510,24354
2013-10-21,11:30:00,20510,20530,20395,20505,54450
2013-10-21,13:45:00,20505,20600,20495,20565,47850
2013-10-21,14:00:00,20565,20615,20555,20615,33668
2013-10-21,14:15:00,20615,20680,20580,20635,60720
2013-10-21,14:30:00,20635,20705,20635,20675,46594
2013-10-21,14:45:00,20675,20730,20660,20705,35464
2013-10-21,15:00:00,20700,20725,20670,20690,48800
2013-10-22,9:15:00,20650,20765,20625,20740,77846
2013-10-22,9:30:00,20740,20750,20595,20620,58672
2013-10-22,9:45:00,20615,20635,20580,20610,30828
2013-10-22,10:00:00,20615,20640,20595,20615,20260
2013-10-22,10:15:00,20615,20640,20600,20615,17578
2013-10-22,10:45:00,20610,20710,20535,20645,65114
2013-10-22,11:00:00,20645,20680,20640,20650,18196
2013-10-22,11:15:00,20650,20700,20645,20675,25488
2013-10-22,11:30:00,20675,20695,20630,20640,36498
2013-10-22,13:45:00,20620,20660,20600,20655,32226
2013-10-22,14:00:00,20655,20665,20545,20545,39184
2013-10-22,14:15:00,20540,20605,20540,20590,32272
2013-10-22,14:30:00,20595,20595,20475,20550,59948
2013-10-22,14:45:00,20550,20550,20495,20540,28370
2013-10-22,15:00:00,20540,20570,20480,20490,55252
2013-10-23,9:15:00,20540,20610,20515,20595,69310
2013-10-23,9:30:00,20595,20620,20555,20585,35250
2013-10-23,9:45:00,20585,20595,20520,20565,37710
2013-10-23,10:00:00,20565,20595,20550,20590,26240
2013-10-23,10:15:00,20590,20605,20450,20490,49804
2013-10-23,10:45:00,20490,20505,20330,20410,67606
2013-10-23,11:00:00,20410,20410,20250,20265,93088
2013-10-23,11:15:00,20270,20280,20210,20235,60762
2013-10-23,11:30:00,20235,20240,20140,20190,68598
2013-10-23,13:45:00,20150,20235,20145,20200,47126
2013-10-23,14:00:00,20200,20270,20185,20235,33494
2013-10-23,14:15:00,20235,20235,20165,20175,29886
2013-10-23,14:30:00,20165,20225,20165,20195,23230
2013-10-23,14:45:00,20195,20205,20125,20140,48358
2013-10-23,15:00:00,20145,20210,20140,20160,60726
2013-10-24,9:15:00,20155,20200,19895,19920,138706
2013-10-24,9:30:00,19915,19980,19875,19975,65242
2013-10-24,9:45:00,19975,20075,19950,20015,59184
2013-10-24,10:00:00,20020,20200,20015,20140,89006
2013-10-24,10:15:00,20145,20170,20115,20125,26398
2013-10-24,10:45:00,20120,20270,20115,20220,70710
2013-10-24,11:00:00,20220,20350,20220,20305,78254
2013-10-24,11:15:00,20300,20315,20265,20280,39570
2013-10-24,11:30:00,20280,20315,20260,20270,32956
2013-10-24,13:45:00,20255,20280,20205,20265,46032
2013-10-24,14:00:00,20265,20280,20195,20240,42426
2013-10-24,14:15:00,20240,20290,20230,20265,31348
2013-10-24,14:30:00,20265,20295,20235,20250,26768
2013-10-24,14:45:00,20250,20270,20225,20250,23272
2013-10-24,15:00:00,20250,20275,20210,20235,49926
2013-10-25,9:15:00,20280,20300,20195,20255,65648
2013-10-25,9:30:00,20255,20305,20220,20245,40308
2013-10-25,9:45:00,20245,20275,20225,20240,25610
2013-10-25,10:00:00,20240,20255,20125,20130,61484
2013-10-25,10:15:00,20130,20175,20080,20150,53816
2013-10-25,10:45:00,20160,20200,20145,20160,25862
2013-10-25,11:00:00,20160,20180,20115,20140,26410
2013-10-25,11:15:00,20145,20250,20135,20225,50344
2013-10-25,11:30:00,20225,20245,20205,20235,30104
2013-10-25,13:45:00,20230,20235,19950,19955,109640
2013-10-25,14:00:00,19955,19970,19835,19905,95384
2013-10-25,14:15:00,19905,19905,19665,19765,96610
2013-10-25,14:30:00,19770,19770,19685,19700,47366
2013-10-25,14:45:00,19700,19710,19500,19575,109946
2013-10-25,15:00:00,19580,19635,19515,19515,70928
2013-10-28,9:15:00,19625,19650,19490,19575,92474
2013-10-28,9:30:00,19575,19590,19480,19555,44130
2013-10-28,9:45:00,19555,19605,19485,19575,45076
2013-10-28,10:00:00,19575,19585,19420,19465,58486
2013-10-28,10:15:00,19465,19530,19460,19470,28906
2013-10-28,10:45:00,19475,19525,19375,19450,44950
2013-10-28,11:00:00,19450,19455,19350,19415,51974
