745, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2013-11-1,15:00:00,19530,19775,19115,19720,719214
2013-11-4,15:00:00,19645,19780,19075,19590,572780
2013-11-5,15:00:00,19585,19635,18830,19380,693408
2013-11-6,15:00:00,19420,19470,18970,19335,600750
2013-11-7,15:00:00,19335,19545,18935,19460,618574
2013-11-8,15:00:00,19400,19550,19095,19270,593700
2013-11-11,15:00:00,19515,19550,18945,19255,565672
2013-11-12,15:00:00,19315,19355,18760,19000,563664
2013-11-13,15:00:00,19105,19260,18785,19145,544464
2013-11-14,15:00:00,19185,19435,18870,19220,461482
2013-11-15,15:00:00,19285,19415,18775,19035,607436
2013-11-18,15:00:00,19085,19120,18895,19080,412678
2013-11-19,15:00:00,18895,19125,18845,19110,494736
2013-11-20,15:00:00,19090,19330,19060,19230,477646
2013-11-21,15:00:00,19170,19240,18925,19025,473138
2013-11-22,15:00:00,19160,19385,18845,18915,535482
2013-11-25,15:00:00,19010,19035,18670,18685,541782
2013-11-26,15:00:00,18750,18945,18610,18780,530144
2013-11-27,15:00:00,18755,18960,18700,18840,419606
2013-11-28,15:00:00,18800,19240,18795,19125,628384
2013-11-29,15:00:00,19325,19640,19125,19555,605922
2013-12-2,15:00:00,19600,19665,19435,19575,425120
2013-12-3,15:00:00,19500,19625,19255,19335,485714
2013-12-4,15:00:00,19360,19720,19250,19515,515048
2013-12-5,15:00:00,19620,19700,19250,19295,513788
2013-12-6,15:00:00,19280,19500,19175,19435,554500
2013-12-9,15:00:00,19565,19890,19425,19735,508514
2013-12-10,15:00:00,19700,19945,19555,19755,405482
2013-12-11,15:00:00,19760,19840,19495,19565,442276
2013-12-12,15:00:00,19565,20145,19545,20055,635218
2013-12-13,15:00:00,19990,20010,19600,19800,604196
2013-12-16,15:00:00,19915,20010,19625,19735,413268
2013-12-17,15:00:00,19770,19785,19275,19345,586764
2013-12-18,15:00:00,19300,19475,19095,19130,481210
2013-12-19,15:00:00,19160,19350,18935,19035,523704
2013-12-20,15:00:00,19040,19305,18825,18825,534008
2013-12-23,15:00:00,18870,19050,18420,18515,609562
2013-12-24,15:00:00,18480,18550,18210,18310,468604
2013-12-25,15:00:00,18380,18620,18110,18390,624408
2013-12-26,15:00:00,18450,18545,18330,18380,494370
2013-12-27,15:00:00,18455,18635,18385,18455,471342
2013-12-30,15:00:00,18490,18545,18175,18290,453220
2013-12-31,15:00:00,18290,18375,18100,18175,507364
2014-1-2,15:00:00,18210,18295,18040,18170,417790
2014-1-3,15:00:00,18020,18055,17640,17650,500630
2014-1-6,15:00:00,17615,17660,17285,17295,520478
2014-1-7,15:00:00,17300,17315,16760,16855,748904
2014-1-8,15:00:00,16875,16955,16730,16785,533598
2014-1-9,15:00:00,16755,17165,16705,16900,673880
2014-1-10,15:00:00,16890,17070,16775,16975,526948
2014-1-13,15:00:00,17110,17110,16380,16395,637312
2014-1-14,15:00:00,16385,16880,16290,16820,727890
2014-1-15,15:00:00,16815,16905,16590,16750,662986
2014-1-16,15:00:00,16855,17040,16780,16860,648578
2014-1-17,15:00:00,16800,16810,16555,16740,548734
2014-1-20,15:00:00,16610,17035,16605,16945,578814
2014-1-21,15:00:00,16935,16940,16470,16535,612326
2014-1-22,15:00:00,16490,16845,16420,16710,701558
2014-1-23,15:00:00,16700,16840,16530,16685,670618
2014-1-24,15:00:00,16545,16780,16495,16690,649236
2014-1-27,15:00:00,16510,16590,16050,16070,666802
2014-1-28,15:00:00,16030,16150,15680,15725,608042
2014-1-29,15:00:00,15795,15900,15705,15760,497616
2014-1-30,15:00:00,15730,15775,15460,15620,467406
2014-2-7,15:00:00,15500,15890,15435,15540,449156
2014-2-10,15:00:00,15645,16140,15630,16065,702562
2014-2-11,15:00:00,16025,16055,15925,15985,459678
2014-2-12,15:00:00,16050,16090,15755,15950,674002
2014-2-13,15:00:00,15965,15975,15740,15770,485970
2014-2-14,15:00:00,15765,15885,15725,15820,512928
2014-2-17,15:00:00,15880,16610,15880,16585,880256
2014-2-18,15:00:00,16585,16585,16255,16360,709386
2014-2-19,15:00:00,16225,16580,16225,16415,713030
2014-2-20,15:00:00,16380,16490,15740,15780,1001812
2014-2-21,15:00:00,15865,15885,15700,15795,626782
2014-2-24,15:00:00,15730,15730,15010,15015,417244
2014-2-25,15:00:00,14795,15085,14745,14790,900754
2014-2-26,15:00:00,14715,15010,14705,14935,870464
2014-2-27,15:00:00,14845,14890,14480,14600,804098
2014-2-28,15:00:00,14680,15090,14645,14810,1193486
2014-3-3,15:00:00,14810,14995,14665,14690,856440
2014-3-4,15:00:00,14825,14860,14380,14595,919782
2014-3-5,15:00:00,14660,15230,14660,15110,1187488
2014-3-6,15:00:00,14960,15155,14845,15100,929322
2014-3-7,15:00:00,15170,15415,14800,14930,1118596
2014-3-10,15:00:00,14380,14620,14325,14420,762700
2014-3-11,15:00:00,14555,15185,14530,15185,861738
2014-3-12,15:00:00,15005,15830,14935,15740,1407582
2014-3-13,15:00:00,15775,15855,15615,15845,800340
2014-3-14,15:00:00,15740,15835,15390,15760,1023108
2014-3-17,15:00:00,15685,15790,14950,15015,1115778
2014-3-18,15:00:00,15050,15235,14915,14955,999104
2014-3-19,15:00:00,15060,15480,15010,15305,1193632
2014-3-20,15:00:00,15480,15510,15130,15225,985350
2014-3-21,15:00:00,15210,15300,14890,15085,992292
2014-3-24,15:00:00,15005,15325,14685,15275,948446
2014-3-25,15:00:00,15260,15745,15200,15575,1099678
2014-3-26,15:00:00,15585,15750,15480,15590,819328
2014-3-27,15:00:00,15405,16070,15370,15460,1360836
2014-3-28,15:00:00,15495,15860,15480,15780,1104406
2014-3-31,15:00:00,15880,16045,15660,15865,918816
2014-4-1,15:00:00,15860,15960,15710,15915,732232
2014-4-2,15:00:00,15850,16275,15565,15665,876316
2014-4-3,15:00:00,15765,15765,15360,15570,1027476
2014-4-4,15:00:00,15550,15690,15515,15600,699050
2014-4-8,15:00:00,15575,15985,15570,15890,821194
2014-4-9,15:00:00,15865,15990,15415,15460,932378
2014-4-10,15:00:00,15485,15545,15120,15270,1159680
2014-4-11,15:00:00,15335,15425,15170,15170,850642
2014-4-14,15:00:00,15180,15340,14905,15105,935208
