28716, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,9:15:00,20880,20975,20855,20915,81040
2009-11-18,9:30:00,20915,20925,20845,20865,44706
2009-11-18,9:45:00,20865,20875,20820,20860,32696
2009-11-18,10:00:00,20865,20870,20830,20845,23114
2009-11-18,10:15:00,20845,20915,20840,20905,31844
2009-11-18,10:45:00,20910,20945,20895,20920,38364
2009-11-18,11:00:00,20925,20955,20905,20925,30968
2009-11-18,11:15:00,20920,20945,20885,20900,26546
2009-11-18,11:30:00,20900,20920,20880,20905,17922
2009-11-18,13:45:00,20900,20920,20880,20905,20628
2009-11-18,14:00:00,20905,20940,20900,20925,25942
2009-11-18,14:15:00,20925,21035,20920,20995,62044
2009-11-18,14:30:00,21000,21070,20990,21065,48816
2009-11-18,14:45:00,21065,21180,21065,21105,106392
2009-11-18,15:00:00,21105,21445,21105,21400,142582
2009-11-19,9:15:00,21400,21485,21345,21405,113398
2009-11-19,9:30:00,21405,21530,21380,21495,84672
2009-11-19,9:45:00,21500,21500,21385,21395,53682
2009-11-19,10:00:00,21400,21445,21390,21410,22738
2009-11-19,10:15:00,21410,21445,21395,21440,24826
2009-11-19,10:45:00,21440,21650,21400,21600,83594
2009-11-19,11:00:00,21605,21625,21515,21530,62088
2009-11-19,11:15:00,21530,21560,21475,21535,35296
2009-11-19,11:30:00,21535,21585,21525,21565,33678
2009-11-19,13:45:00,21565,21615,21520,21540,34066
2009-11-19,14:00:00,21545,21795,21535,21780,87304
2009-11-19,14:15:00,21775,21955,21770,21815,94536
2009-11-19,14:30:00,21810,21835,21750,21820,45008
2009-11-19,14:45:00,21825,21845,21765,21795,55496
2009-11-19,15:00:00,21795,21835,21605,21635,93652
2009-11-20,9:15:00,21590,21780,21575,21665,89380
2009-11-20,9:30:00,21665,21685,21420,21455,91004
2009-11-20,9:45:00,21455,21470,21360,21470,86552
2009-11-20,10:00:00,21470,21490,21430,21450,45042
2009-11-20,10:15:00,21455,21495,21420,21445,35406
2009-11-20,10:45:00,21445,21525,21380,21520,61244
2009-11-20,11:00:00,21515,21570,21500,21530,55536
2009-11-20,11:15:00,21525,21630,21525,21585,64792
2009-11-20,11:30:00,21585,21625,21535,21560,51834
2009-11-20,13:45:00,21610,21645,21575,21590,54810
2009-11-20,14:00:00,21590,21620,21565,21580,37318
2009-11-20,14:15:00,21580,21595,21500,21540,47952
2009-11-20,14:30:00,21545,21570,21485,21525,36636
2009-11-20,14:45:00,21520,21540,21460,21475,41352
2009-11-20,15:00:00,21480,21530,21455,21510,44324
2009-11-23,9:15:00,21625,21770,21625,21680,76542
2009-11-23,9:30:00,21675,21745,21675,21720,42964
2009-11-23,9:45:00,21725,21745,21665,21705,40576
2009-11-23,10:00:00,21705,21850,21685,21805,52890
2009-11-23,10:15:00,21805,21835,21765,21815,38710
2009-11-23,10:45:00,21815,21910,21795,21895,42124
2009-11-23,11:00:00,21895,21925,21855,21905,43714
2009-11-23,11:15:00,21905,21945,21860,21890,36782
2009-11-23,11:30:00,21890,21920,21860,21915,24650
2009-11-23,13:45:00,21915,21975,21895,21910,43472
2009-11-23,14:00:00,21910,21960,21895,21945,29296
2009-11-23,14:15:00,21945,21995,21925,21945,36504
2009-11-23,14:30:00,21950,21965,21930,21950,19458
2009-11-23,14:45:00,21950,21970,21905,21945,38128
2009-11-23,15:00:00,21940,21945,21890,21905,38740
2009-11-24,9:15:00,21750,21780,21575,21645,97674
2009-11-24,9:30:00,21645,21715,21615,21675,39276
2009-11-24,9:45:00,21675,21810,21665,21795,43162
2009-11-24,10:00:00,21795,21890,21765,21880,48984
2009-11-24,10:15:00,21880,21995,21875,21945,78936
2009-11-24,10:45:00,21950,22095,21930,22080,105118
2009-11-24,11:00:00,22080,22100,22035,22080,57046
2009-11-24,11:15:00,22080,22130,22055,22085,61462
2009-11-24,11:30:00,22085,22090,21890,21900,69104
2009-11-24,13:45:00,21965,21995,21720,21765,83430
2009-11-24,14:00:00,21760,21825,21720,21785,65324
2009-11-24,14:15:00,21790,21840,21780,21800,33428
2009-11-24,14:30:00,21790,21795,21670,21675,59892
2009-11-24,14:45:00,21680,21705,21440,21565,110606
2009-11-24,15:00:00,21565,21645,21535,21635,66768
2009-11-25,9:15:00,21815,21950,21750,21940,123708
2009-11-25,9:30:00,21935,21960,21870,21925,74568
2009-11-25,9:45:00,21925,22025,21825,21865,101146
2009-11-25,10:00:00,21865,21930,21860,21915,56714
2009-11-25,10:15:00,21910,21945,21885,21890,49832
2009-11-25,10:45:00,21905,21925,21780,21835,70956
2009-11-25,11:00:00,21835,21855,21770,21795,54276
2009-11-25,11:15:00,21795,21915,21740,21910,83262
2009-11-25,11:30:00,21915,21975,21910,21935,89702
2009-11-25,13:45:00,22050,22100,22010,22020,82556
2009-11-25,14:00:00,22020,22040,21975,22005,70492
2009-11-25,14:15:00,22010,22045,22010,22030,36884
2009-11-25,14:30:00,22040,22090,21915,21920,79620
2009-11-25,14:45:00,21920,22025,21915,22000,70960
2009-11-25,15:00:00,22005,22170,22000,22160,127874
2009-11-26,9:15:00,22250,22345,22225,22265,103974
2009-11-26,9:30:00,22265,22345,22260,22310,70892
2009-11-26,9:45:00,22310,22350,22285,22290,51978
2009-11-26,10:00:00,22290,22415,22285,22385,71312
2009-11-26,10:15:00,22385,22390,22175,22230,99876
2009-11-26,10:45:00,22220,22260,22120,22160,62946
2009-11-26,11:00:00,22155,22195,22070,22140,56886
2009-11-26,11:15:00,22140,22190,22115,22175,44624
2009-11-26,11:30:00,22175,22180,22070,22105,41622
2009-11-26,13:45:00,22035,22045,21870,21915,84776
2009-11-26,14:00:00,21915,21975,21890,21970,53452
2009-11-26,14:15:00,21970,22020,21945,21975,37008
2009-11-26,14:30:00,21960,22035,21930,22035,35384
2009-11-26,14:45:00,22025,22100,21980,22005,56864
2009-11-26,15:00:00,22005,22075,21950,22060,55024
2009-11-27,9:15:00,21795,21830,21635,21675,104250
2009-11-27,9:30:00,21675,21690,21560,21625,75086
2009-11-27,9:45:00,21625,21685,21610,21680,46518
2009-11-27,10:00:00,21680,21760,21665,21725,45258
2009-11-27,10:15:00,21720,21725,21630,21690,35312
2009-11-27,10:45:00,21695,21735,21630,21700,45358
2009-11-27,11:00:00,21695,21800,21695,21770,43934
2009-11-27,11:15:00,21770,21830,21755,21790,47990
2009-11-27,11:30:00,21790,21790,21705,21720,37518
2009-11-27,13:45:00,21600,21600,21500,21550,62826
2009-11-27,14:00:00,21550,21580,21110,21235,95116
2009-11-27,14:15:00,21240,21295,21160,21255,48858
2009-11-27,14:30:00,21185,21265,21145,21250,46418
2009-11-27,14:45:00,21255,21270,21150,21200,44002
2009-11-27,15:00:00,21200,21250,21180,21230,49830
2009-11-30,9:15:00,21600,21980,21600,21815,113644
2009-11-30,9:30:00,21815,21885,21810,21860,49504
2009-11-30,9:45:00,21860,21900,21815,21840,42922
2009-11-30,10:00:00,21840,21855,21755,21760,49396
2009-11-30,10:15:00,21760,21830,21755,21830,31364
2009-11-30,10:45:00,21810,21855,21780,21840,29468
2009-11-30,11:00:00,21840,21860,21755,21790,36512
2009-11-30,11:15:00,21795,21830,21780,21805,28676
2009-11-30,11:30:00,21805,21810,21765,21805,23862
2009-11-30,13:45:00,21730,21755,21640,21685,50672
2009-11-30,14:00:00,21685,21730,21650,21660,37000
2009-11-30,14:15:00,21655,21655,21560,21565,45852
2009-11-30,14:30:00,21575,21645,21575,21605,28306
2009-11-30,14:45:00,21605,21695,21605,21675,36508
2009-11-30,15:00:00,21675,21700,21615,21640,35258
2009-12-1,9:15:00,21800,21845,21660,21690,89724
2009-12-1,9:30:00,21680,21730,21530,21550,63228
2009-12-1,9:45:00,21550,21575,21430,21560,63960
2009-12-1,10:00:00,21555,21625,21535,21610,43398
2009-12-1,10:15:00,21610,21645,21570,21630,57780
2009-12-1,10:45:00,21645,21745,21610,21690,64716
2009-12-1,11:00:00,21690,21715,21670,21690,33666
2009-12-1,11:15:00,21685,21725,21610,21625,50682
2009-12-1,11:30:00,21625,21700,21600,21665,42202
2009-12-1,13:45:00,21630,21735,21615,21730,46872
2009-12-1,14:00:00,21730,21895,21730,21865,122160
2009-12-1,14:15:00,21865,21895,21845,21880,44936
2009-12-1,14:30:00,21880,21905,21830,21875,52942
2009-12-1,14:45:00,21880,21885,21785,21830,67900
2009-12-1,15:00:00,21830,21865,21725,21735,85610
2009-12-2,9:15:00,22100,22145,21970,21995,108354
2009-12-2,9:30:00,21995,22020,21940,22010,61750
2009-12-2,9:45:00,22020,22020,21960,21995,37236
2009-12-2,10:00:00,21990,22060,21880,21890,71056
2009-12-2,10:15:00,21885,21970,21880,21950,42262
2009-12-2,10:45:00,21965,21980,21920,21955,28914
2009-12-2,11:00:00,21955,21990,21940,21985,28286
2009-12-2,11:15:00,21980,22015,21950,21965,32200
2009-12-2,11:30:00,21965,22030,21960,21985,33288
2009-12-2,13:45:00,22025,22130,21990,22120,61834
2009-12-2,14:00:00,22120,22160,22060,22065,62318
2009-12-2,14:15:00,22065,22110,22060,22085,24332
2009-12-2,14:30:00,22070,22075,21960,22000,42174
2009-12-2,14:45:00,22000,22045,21960,22040,43576
2009-12-2,15:00:00,22040,22065,21980,22025,49216
2009-12-3,9:15:00,22175,22185,22090,22130,77000
2009-12-3,9:30:00,22130,22200,22125,22160,54092
2009-12-3,9:45:00,22155,22175,22115,22130,37526
2009-12-3,10:00:00,22130,22180,22130,22155,27670
2009-12-3,10:15:00,22155,22290,22135,22260,72386
2009-12-3,10:45:00,22260,22345,22250,22340,55866
2009-12-3,11:00:00,22340,22355,22305,22335,41834
2009-12-3,11:15:00,22330,22395,22320,22340,41312
2009-12-3,11:30:00,22340,22425,22315,22365,48656
2009-12-3,13:45:00,22345,22400,22330,22365,39714
2009-12-3,14:00:00,22365,22390,22290,22330,56120
2009-12-3,14:15:00,22330,22335,22210,22210,43990
2009-12-3,14:30:00,22210,22280,22150,22260,53120
2009-12-3,14:45:00,22260,22315,22260,22275,38926
2009-12-3,15:00:00,22275,22330,22265,22330,51712
2009-12-4,9:15:00,22170,22295,22150,22290,82054
2009-12-4,9:30:00,22290,22355,22270,22330,58228
2009-12-4,9:45:00,22325,22395,22300,22385,42788
2009-12-4,10:00:00,22385,22470,22385,22430,67546
2009-12-4,10:15:00,22430,22440,22390,22430,35930
2009-12-4,10:45:00,22440,22545,22430,22495,74122
2009-12-4,11:00:00,22495,22580,22490,22550,41814
2009-12-4,11:15:00,22555,22615,22470,22480,67742
2009-12-4,11:30:00,22475,22510,22450,22470,51484
2009-12-4,13:45:00,22415,22460,22310,22435,61928
2009-12-4,14:00:00,22435,22505,22430,22505,47192
2009-12-4,14:15:00,22500,22530,22460,22465,32420
2009-12-4,14:30:00,22465,22520,22465,22495,31342
2009-12-4,14:45:00,22490,22575,22485,22545,58506
2009-12-4,15:00:00,22540,22645,22530,22635,58486
2009-12-8,9:15:00,22330,22360,22105,22150,86128
2009-12-8,9:30:00,22150,22215,22070,22210,62970
2009-12-8,9:45:00,22210,22275,22165,22240,52836
2009-12-8,10:00:00,22240,22265,22210,22220,30768
2009-12-8,10:15:00,22220,22235,22145,22175,40656
2009-12-8,10:45:00,22150,22230,22095,22210,44896
2009-12-8,11:00:00,22215,22220,22140,22165,24404
2009-12-8,11:15:00,22170,22240,22170,22240,30646
2009-12-8,11:30:00,22240,22240,22175,22190,23528
2009-12-8,13:45:00,22150,22215,22140,22210,28192
2009-12-8,14:00:00,22205,22290,22205,22250,42100
