1685, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2009-11-18,15:00:00,20880,21445,20820,21400,736816
2009-11-19,15:00:00,21400,21955,21345,21640,926650
2009-11-20,15:00:00,21590,21780,21360,21520,851378
2009-11-23,15:00:00,21625,21995,21625,21900,609074
2009-11-24,15:00:00,21750,22130,21440,21635,1030368
2009-11-25,15:00:00,21815,22170,21740,22160,1192390
2009-11-26,15:00:00,22250,22415,21870,22045,937078
2009-11-27,15:00:00,21795,21830,21110,21235,839004
2009-11-30,15:00:00,21600,21980,21560,21645,649002
2009-12-1,15:00:00,21800,21905,21430,21740,935450
2009-12-2,15:00:00,22100,22160,21880,22030,732352
2009-12-3,15:00:00,22175,22425,22090,22320,748210
2009-12-4,15:00:00,22170,22645,22150,22630,819660
2009-12-8,15:00:00,22330,22360,22070,22230,591476
2009-12-9,15:00:00,21850,21960,21675,21710,549032
2009-12-10,15:00:00,21700,21775,21185,21515,769928
2009-12-11,15:00:00,21530,21785,21510,21650,542750
2009-12-14,15:00:00,21580,21740,21290,21675,575870
2009-12-15,15:00:00,21850,21880,21610,21715,419462
2009-12-16,15:00:00,21850,22780,21780,22760,794772
2009-12-17,15:00:00,23170,23280,22730,22960,675226
2009-12-18,15:00:00,22610,23330,22600,23325,1114788
2009-12-21,15:00:00,23390,23460,23025,23140,728522
2009-12-22,15:00:00,22925,23235,22925,22965,596740
2009-12-23,15:00:00,23100,23220,22705,23115,817696
2009-12-24,15:00:00,23350,23500,23195,23375,594476
2009-12-25,15:00:00,23450,23605,23285,23345,461030
2009-12-28,15:00:00,23425,23665,23395,23485,334388
2009-12-29,15:00:00,23905,24230,23735,23880,531298
2009-12-30,15:00:00,23820,24260,23640,24195,743510
2009-12-31,15:00:00,24255,24520,24180,24460,594616
2010-1-4,15:00:00,24595,24745,24340,24350,488932
2010-1-5,15:00:00,24545,24880,24475,24705,647784
2010-1-6,15:00:00,24680,25145,24635,25050,534648
2010-1-7,15:00:00,25465,25740,24500,24855,861896
2010-1-8,15:00:00,25030,25380,24505,25355,1479472
2010-1-11,15:00:00,25760,26165,25480,26040,953166
2010-1-12,15:00:00,25980,26100,25665,25860,1097928
2010-1-13,15:00:00,25100,25775,24940,25305,1219774
2010-1-14,15:00:00,25890,25960,25555,25680,794178
2010-1-15,15:00:00,25500,25590,24835,25050,1053678
2010-1-18,15:00:00,24790,24920,24575,24740,674758
2010-1-19,15:00:00,25005,25405,24800,25360,920174
2010-1-20,15:00:00,25540,25605,25240,25270,1042078
2010-1-21,15:00:00,25170,25745,24960,25730,1028470
2010-1-22,15:00:00,24915,25155,24105,24475,1121418
2010-1-25,15:00:00,24350,24745,24305,24590,854140
2010-1-26,15:00:00,24895,24895,24035,24065,969658
2010-1-27,15:00:00,24095,24250,23660,23780,1294600
2010-1-28,15:00:00,23355,23505,22840,23165,1286068
2010-1-29,15:00:00,23165,23455,22855,22985,1299400
2010-2-1,15:00:00,23115,23240,22250,23000,1365602
2010-2-2,15:00:00,23450,23515,22875,22955,1102952
2010-2-3,15:00:00,23245,23620,23040,23525,1118430
2010-2-4,15:00:00,23060,23390,22860,22980,1131588
2010-2-5,15:00:00,22110,22370,22000,22030,864188
2010-2-8,15:00:00,22300,22380,21970,21980,983534
2010-2-9,15:00:00,22000,22450,21665,22380,1314612
2010-2-10,15:00:00,22660,23280,22560,23280,886374
2010-2-11,15:00:00,23495,23950,23270,23850,842212
2010-2-12,15:00:00,24070,24370,23830,24330,562840
2010-2-22,15:00:00,25280,25310,24665,24910,247466
2010-2-23,15:00:00,24680,25125,24580,25105,805256
2010-2-24,15:00:00,24870,25280,24775,25145,770894
2010-2-25,15:00:00,25155,25450,24640,24680,1013566
2010-2-26,15:00:00,24795,25020,24690,24835,800010
2010-3-1,15:00:00,25700,25780,24955,25000,706040
2010-3-2,15:00:00,24860,24890,24060,24095,1071784
2010-3-3,15:00:00,24275,24440,24135,24280,965052
2010-3-4,15:00:00,24400,24510,23675,23760,1330264
2010-3-5,15:00:00,23790,24210,23665,24020,1443940
2010-3-8,15:00:00,24250,24835,24020,24800,1303526
2010-3-9,15:00:00,24655,24740,24370,24530,1549044
2010-3-10,15:00:00,24310,24690,24290,24555,1536088
2010-3-11,15:00:00,24585,24675,23880,24090,1844336
2010-3-12,15:00:00,24210,24290,23560,23730,1904120
2010-3-15,15:00:00,22890,22890,22890,22890,1421434
2010-3-16,15:00:00,22640,23420,22525,23310,1671028
2010-3-17,15:00:00,23510,23900,23255,23880,1525368
2010-3-18,15:00:00,23710,24260,23580,23660,2106720
2010-3-22,15:00:00,24010,24170,23835,24005,1563526
2010-3-23,15:00:00,24060,24145,23505,23560,1613446
2010-3-24,15:00:00,23640,23930,23340,23750,1765806
2010-3-25,15:00:00,23820,24780,23785,24675,2148578
2010-3-26,15:00:00,24900,25020,24570,24855,1779104
2010-3-29,15:00:00,25080,25185,24900,25010,1203266
2010-3-30,15:00:00,24980,25170,24740,24915,1471900
2010-3-31,15:00:00,25000,25085,24435,24515,1411118
2010-4-1,15:00:00,24615,24800,24485,24580,1289730
2010-4-2,15:00:00,24780,25070,24610,24780,1554770
2010-4-6,15:00:00,25080,26005,24865,25390,1978332
2010-4-7,15:00:00,25480,25610,25340,25505,1522958
2010-4-8,15:00:00,25400,25470,25050,25050,1546022
2010-4-9,15:00:00,25200,25330,25105,25270,1225726
2010-4-12,15:00:00,25550,25835,25400,25485,1397534
2010-4-13,15:00:00,25400,25570,25210,25390,1554306
2010-4-14,15:00:00,25500,25710,25470,25595,1478366
2010-4-15,15:00:00,25900,25900,25620,25625,1227764
2010-4-16,15:00:00,25700,25745,25185,25325,1329844
2010-4-19,15:00:00,24730,24770,24200,24325,1266110
2010-4-20,15:00:00,24620,24760,24505,24735,1209152
2010-4-21,15:00:00,24745,24850,24560,24595,1242970
2010-4-22,15:00:00,24300,24400,24090,24350,1195978
2010-4-23,15:00:00,24340,24485,24260,24315,1193808
2010-4-26,15:00:00,24615,24680,24385,24505,937722
2010-4-27,15:00:00,24335,24340,23735,23865,1307734
2010-4-28,15:00:00,23005,23595,23005,23500,1088882
2010-4-29,15:00:00,23650,23650,23350,23430,975602
2010-4-30,15:00:00,23500,23650,22830,23525,1633172
2010-5-4,15:00:00,23420,23470,23170,23265,1278518
2010-5-5,15:00:00,22700,22985,22620,22905,1102834
2010-5-6,15:00:00,22905,23055,22590,22670,1636910
2010-5-7,15:00:00,22300,22445,22010,22140,1771780
2010-5-10,15:00:00,22490,22590,22240,22570,1330768
2010-5-11,15:00:00,22560,22665,21915,22000,1529468
2010-5-12,15:00:00,21910,22455,21895,22285,1687132
2010-5-13,15:00:00,22390,22475,22180,22435,1400292
2010-5-14,15:00:00,22240,22275,21725,21745,1827884
2010-5-17,15:00:00,21450,21585,20890,21075,1805398
2010-5-18,15:00:00,21245,21860,21080,21825,1968388
2010-5-19,15:00:00,21420,22150,21290,21855,1937424
2010-5-20,15:00:00,22145,22370,21570,21765,2016672
2010-5-21,15:00:00,21450,21730,21305,21640,1759712
2010-5-24,15:00:00,21810,22190,21765,22165,1713848
2010-5-25,15:00:00,21945,22225,21875,21955,1893326
2010-5-26,15:00:00,22305,22560,22290,22440,1460636
2010-5-27,15:00:00,22360,22895,22325,22855,1599604
2010-5-28,15:00:00,23085,23085,22780,22950,1225714
2010-5-31,15:00:00,22840,23055,22615,22845,1757102
2010-6-1,15:00:00,22900,22935,22540,22570,1345206
2010-6-2,15:00:00,22560,22610,21630,22005,1855194
2010-6-3,15:00:00,22100,22230,21760,21835,1698688
2010-6-4,15:00:00,21560,21920,21400,21830,2020140
2010-6-7,15:00:00,20800,20800,20560,20560,425814
2010-6-8,15:00:00,20620,21000,20490,20910,1695586
2010-6-9,15:00:00,20780,21395,20740,21375,1749494
2010-6-10,15:00:00,21300,21720,21245,21515,1389060
2010-6-11,15:00:00,20760,21185,20740,21180,1056242
2010-6-17,15:00:00,21740,21795,21180,21265,803254
2010-6-18,15:00:00,21240,21455,21035,21055,1603448
2010-6-21,15:00:00,21345,22195,21325,21895,1872304
2010-6-22,15:00:00,21600,21660,21355,21475,1612016
2010-6-23,15:00:00,21355,21780,21270,21535,1964146
2010-6-24,15:00:00,21620,22015,21565,21820,1833954
2010-6-25,15:00:00,21900,22050,21730,21905,1998480
2010-6-28,15:00:00,22100,22420,22100,22200,1596924
2010-6-29,15:00:00,21800,21965,21450,21580,1493090
2010-6-30,15:00:00,21380,21615,21180,21585,1957516
2010-7-1,15:00:00,21500,21665,21085,21175,2261658
2010-7-2,15:00:00,21190,21605,21175,21560,1872050
2010-7-5,15:00:00,21500,21780,21410,21655,1679826
2010-7-6,15:00:00,21400,21695,21335,21605,1798124
2010-7-7,15:00:00,21690,21825,21620,21790,1382440
2010-7-8,15:00:00,22100,22230,21950,21955,1151932
2010-7-9,15:00:00,22050,22190,22010,22115,992828
2010-7-12,15:00:00,22000,22105,21400,21410,1548418
2010-7-13,15:00:00,21395,21405,20925,20985,1564514
2010-7-14,15:00:00,21200,21345,20985,21245,1982560
2010-7-15,15:00:00,21200,21545,21130,21380,1558124
2010-7-16,15:00:00,21535,21645,21370,21580,1438134
2010-7-19,15:00:00,21335,21465,21230,21390,1186982
2010-7-20,15:00:00,21460,21765,21415,21745,1277378
2010-7-21,15:00:00,21800,21885,21700,21720,1109256
2010-7-22,15:00:00,21710,21800,21460,21725,1616782
2010-7-23,15:00:00,22100,22595,22025,22515,1324110
2010-7-26,15:00:00,22480,22530,22155,22280,1153752
2010-7-27,15:00:00,22170,22365,21945,22180,1418004
2010-7-28,15:00:00,22695,23395,22680,23315,1262056
2010-7-29,15:00:00,23410,23800,23365,23735,1494198
2010-7-30,15:00:00,23665,23970,23595,23965,1519642
2010-8-2,15:00:00,24100,24870,24100,24460,1363124
2010-8-3,15:00:00,24710,24720,24350,24365,1393860
2010-8-4,15:00:00,24395,24910,24355,24890,1429158
2010-8-5,15:00:00,25095,25150,24280,24440,1910132
2010-8-6,15:00:00,24500,24800,24410,24690,1639690
2010-8-9,15:00:00,24700,24945,24615,24910,1088150
2010-8-10,15:00:00,24810,25200,24760,24860,1396162
2010-8-11,15:00:00,24815,25085,24590,24685,1167258
2010-8-12,15:00:00,24530,24625,24185,24480,1342300
2010-8-13,15:00:00,24680,24910,24480,24845,1041098
2010-8-16,15:00:00,24650,24970,24430,24750,1092708
2010-8-17,15:00:00,24765,25310,24765,25310,1319932
2010-8-18,15:00:00,25500,25580,25290,25375,1009254
2010-8-19,15:00:00,25615,25835,25430,25820,1011694
2010-8-20,15:00:00,25730,25745,25175,25270,1105640
2010-8-23,15:00:00,25395,25445,24975,25095,1086510
2010-8-24,15:00:00,25025,25030,24385,24485,1341658
2010-8-25,15:00:00,24445,24875,24375,24845,1320038
2010-8-26,15:00:00,25180,25620,25150,25520,880610
2010-8-27,15:00:00,25530,25710,25380,25630,867488
2010-8-30,15:00:00,25850,25995,25665,25825,1012108
2010-8-31,15:00:00,25610,25690,25255,25320,986414
2010-9-1,15:00:00,25460,25955,25435,25680,1100210
2010-9-2,15:00:00,25820,26245,25820,26220,979594
2010-9-3,15:00:00,26300,26350,26060,26225,763414
2010-9-6,15:00:00,26300,26645,26260,26540,606504
2010-9-7,15:00:00,26500,26510,26215,26390,573742
2010-9-8,15:00:00,26390,26605,26255,26450,688308
2010-9-9,15:00:00,26590,26715,25230,25445,1150246
2010-9-10,15:00:00,25650,25830,25320,25415,880138
2010-9-13,15:00:00,25630,25805,25300,25745,1407326
2010-9-14,15:00:00,25695,25855,25540,25650,1263440
2010-9-15,15:00:00,25760,25760,25255,25285,1150998
2010-9-16,15:00:00,25300,25375,25050,25170,1184168
2010-9-17,15:00:00,25220,25985,25180,25985,1108378
2010-9-20,15:00:00,25985,26840,25985,26635,750136
2010-9-21,15:00:00,26650,26920,26325,26805,895418
2010-9-27,15:00:00,27180,27320,26535,26570,681732
2010-9-28,15:00:00,26505,26815,26240,26685,663152
2010-9-29,15:00:00,26810,26935,26500,26910,853718
2010-9-30,15:00:00,26955,26955,26505,26875,619218
2010-10-8,15:00:00,26990,28015,26850,27655,680234
2010-10-11,15:00:00,28220,29065,28220,29065,439044
2010-10-12,15:00:00,29000,29555,28855,29335,1204656
2010-10-13,15:00:00,29665,30700,29665,30675,1284732
2010-10-14,15:00:00,31100,31795,30835,31570,1353342
2010-10-15,15:00:00,31575,32055,31160,32040,1277568
2010-10-18,15:00:00,31490,31945,31075,31580,1337880
2010-10-19,15:00:00,32190,33000,31300,31720,1669618
2010-10-20,15:00:00,31000,31965,30845,31785,1215064
2010-10-21,15:00:00,32220,32295,30665,31170,1298376
2010-10-22,15:00:00,31350,31685,30910,31285,878388
2010-10-25,15:00:00,31450,32955,31400,32955,400962
2010-10-26,15:00:00,33200,33315,32405,32660,877530
2010-10-27,15:00:00,32925,32925,31210,31210,926076
2010-10-28,15:00:00,31490,32495,31120,32320,1029146
2010-10-29,15:00:00,31930,32150,30525,30740,2173684
2010-11-1,15:00:00,31160,31945,31160,31420,838488
2010-11-2,15:00:00,31530,32395,31105,32055,1137318
2010-11-3,15:00:00,32500,33190,32120,32645,970398
2010-11-4,15:00:00,32930,34150,32755,34130,1005804
2010-11-5,15:00:00,35025,35025,34980,35025,23752
2010-11-8,15:00:00,35800,37070,35050,35865,1284394
2010-11-9,15:00:00,35640,37735,35450,37370,1156516
2010-11-10,15:00:00,37530,38400,36960,37795,1224884
2010-11-11,15:00:00,38500,38915,36665,36755,1839010
2010-11-12,15:00:00,36195,36195,35790,35790,34184
2010-11-15,15:00:00,33415,34900,33415,33750,907582
2010-11-16,15:00:00,34600,35170,33200,33520,1566152
2010-11-17,15:00:00,32500,33425,32500,32500,652188
2010-11-18,15:00:00,33000,33540,31930,33225,1475294
2010-11-19,15:00:00,34000,34415,32705,34415,1333210
2010-11-22,15:00:00,33840,34380,33210,33215,1420122
2010-11-23,15:00:00,33190,33490,32220,32220,432588
2010-11-24,15:00:00,32000,32755,31315,32285,1614414
2010-11-25,15:00:00,32640,32700,31250,31280,1540782
2010-11-26,15:00:00,31500,31560,30375,30375,764610
2010-11-29,15:00:00,30000,30920,29705,30650,1252166
2010-11-30,15:00:00,30895,31080,29505,30880,1363902
2010-12-1,15:00:00,30635,31545,30560,31160,1364886
2010-12-2,15:00:00,32030,32030,31560,31700,784486
2010-12-3,15:00:00,31690,32515,31485,32365,1202768
2010-12-6,15:00:00,32800,33080,32405,32835,780806
2010-12-7,15:00:00,32715,33245,32255,33225,683698
2010-12-8,15:00:00,32685,33095,32180,32200,896800
2010-12-9,15:00:00,32835,33480,32730,33100,1005452
2010-12-10,15:00:00,32960,33920,32725,33805,905474
2010-12-13,15:00:00,33855,35320,33780,35320,573706
2010-12-14,15:00:00,35500,35990,35085,35535,881230
2010-12-15,15:00:00,35300,35760,34660,34735,933480
2010-12-16,15:00:00,34800,35400,34460,35050,926854
2010-12-17,15:00:00,35160,36245,35120,36145,1013342
2010-12-20,15:00:00,36880,37855,36205,37320,1102432
2010-12-21,15:00:00,37555,37750,36760,37685,1172788
2010-12-22,15:00:00,37770,37770,36450,36585,1060490
2010-12-23,15:00:00,36755,37350,36655,37175,932074
2010-12-24,15:00:00,37600,37675,36520,37300,998258
2010-12-27,15:00:00,37000,37755,36820,37110,858082
2010-12-28,15:00:00,37000,37180,36025,36030,1052220
2010-12-29,15:00:00,36195,36335,35765,36255,704566
2010-12-30,15:00:00,35930,36640,35480,36545,757010
2010-12-31,15:00:00,36000,37225,36000,37190,596546
2011-1-4,15:00:00,37470,37875,37005,37610,602190
2011-1-5,15:00:00,37170,38360,37110,38100,798046
2011-1-6,15:00:00,38800,38830,38275,38365,550824
2011-1-7,15:00:00,38000,38755,36425,36785,1042374
2011-1-10,15:00:00,37150,37520,36820,37240,753260
2011-1-11,15:00:00,37500,37795,37255,37640,700912
2011-1-12,15:00:00,38190,38560,38035,38280,577978
2011-1-13,15:00:00,38450,38675,37860,38060,843840
2011-1-14,15:00:00,38000,38570,37550,38570,771396
2011-1-17,15:00:00,38700,38885,37920,38260,657014
2011-1-18,15:00:00,38315,38430,37655,38125,726428
2011-1-19,15:00:00,38350,39975,38160,39920,772250
2011-1-20,15:00:00,39630,40215,39570,40130,788972
2011-1-21,15:00:00,40000,40985,39780,40650,734228
2011-1-24,15:00:00,40870,41200,40380,40465,541502
2011-1-25,15:00:00,40380,40685,39330,39665,625752
2011-1-26,15:00:00,39085,39420,38410,39280,722890
2011-1-27,15:00:00,39585,41265,37480,41265,631478
2011-1-28,15:00:00,40000,40960,39825,40940,610376
2011-1-31,15:00:00,41000,41850,40710,40920,502578
2011-2-1,15:00:00,41320,41780,41055,41710,416200
2011-2-9,15:00:00,42485,42755,42080,42215,224556
2011-2-10,15:00:00,42420,43290,42375,42765,398552
2011-2-11,15:00:00,42975,43230,42300,42685,517500
2011-2-14,15:00:00,43200,43350,42325,42860,444090
2011-2-15,15:00:00,42795,43000,41870,41905,535802
2011-2-16,15:00:00,41540,42100,41050,41850,612636
2011-2-17,15:00:00,42300,42650,41255,41305,614390
2011-2-18,15:00:00,41520,41750,40195,40310,726892
2011-2-21,15:00:00,40660,40755,40095,40480,766670
2011-2-22,15:00:00,40000,41140,39360,39700,889564
2011-2-23,15:00:00,39185,39790,38915,39530,649578
2011-2-24,15:00:00,40025,40150,38070,38355,711408
2011-2-25,15:00:00,38470,38670,37965,38285,550860
2011-2-28,15:00:00,38300,39370,38050,39315,840308
2011-3-1,15:00:00,39490,39825,39190,39365,666956
2011-3-2,15:00:00,39260,39300,38410,38860,678134
2011-3-3,15:00:00,38600,40010,38430,38460,735126
2011-3-4,15:00:00,38610,38795,37710,38030,864336
2011-3-7,15:00:00,38125,38770,37930,38675,606374
2011-3-8,15:00:00,37900,37945,36035,36205,472964
2011-3-9,15:00:00,36280,36765,35805,36370,715074
2011-3-10,15:00:00,35880,36495,35605,36190,555328
2011-3-11,15:00:00,35535,36120,35065,35195,564096
2011-3-14,15:00:00,33560,34505,33480,33480,232954
2011-3-15,15:00:00,33200,33945,32750,33155,758876
2011-3-16,15:00:00,33475,34440,33020,34245,495172
2011-3-17,15:00:00,33850,34715,33650,34220,688108
2011-3-18,15:00:00,35845,35845,34750,34970,631856
2011-3-21,15:00:00,34995,35355,34550,35125,704962
2011-3-22,15:00:00,35170,35740,34930,35485,715006
2011-3-23,15:00:00,35650,36475,35550,36165,736344
2011-3-24,15:00:00,36235,36465,35855,35880,670464
2011-3-25,15:00:00,35970,36160,35305,35555,779602
2011-3-28,15:00:00,35460,35505,34035,34150,699090
2011-3-29,15:00:00,33800,34500,33635,34315,719790
2011-3-30,15:00:00,34500,35185,34340,35100,680744
2011-3-31,15:00:00,34880,35155,34500,34895,724526
2011-4-1,15:00:00,35000,35390,34400,34635,716030
2011-4-6,15:00:00,35100,36050,35100,35940,594116
2011-4-7,15:00:00,36050,36220,35750,35790,447452
2011-4-8,15:00:00,35635,36725,35555,36680,580356
2011-4-11,15:00:00,36980,37700,36915,37065,499654
2011-4-12,15:00:00,36685,36895,36415,36455,494056
2011-4-13,15:00:00,36345,36590,35700,36555,693462
2011-4-14,15:00:00,36100,36460,35650,35670,755012
2011-4-15,15:00:00,35780,36125,35260,35295,784902
2011-4-18,15:00:00,34970,35205,34620,34960,592756
2011-4-19,15:00:00,34870,35130,33580,33870,720752
2011-4-20,15:00:00,34230,34910,34185,34875,654876
2011-4-21,15:00:00,34885,35265,34305,34510,809430
2011-4-22,15:00:00,35000,35185,34345,34780,797176
